phrase,phrase ids,sentiment values,overall sentiment,sentiment_value,sentence_index,splitset_label
Collapses after 30 minutes into a slap-happy series of adolescent violence .,183157,0.15278,very negative,0,10470,1
Collapses under its own meager weight .,183159,0.25,negative,1,9565,1
"Collateral Damage is trash , but it earns extra points by acting as if it were n't .",64756,0.19444,very negative,0,2603,1
"Collateral Damage offers formula payback and the Big Payoff , but the explosions tend to simply hit their marks , pyro-correctly .",183164,0.52778,neutral,2,10383,1
"Colorful , energetic and sweetly whimsical ... the rare sequel that 's better than its predecessor .",105162,0.80556,very positive,4,4917,1
"Colorful and deceptively buoyant until it suddenly pulls the rug out from under you , Burkinabe filmmaker Dani Kouyate 's reworking of a folk story whose roots go back to 7th-century oral traditions is also a pointed political allegory .",64760,0.51389,neutral,2,3711,1
Combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural -- why did n't Hollywood think of this sooner ?,64763,0.77778,positive,3,2302,1
Combines a comically dismal social realism with a farcically bawdy fantasy of redemption and regeneration .,105166,0.65278,positive,3,5337,1
"Combines sharp comedy , old-fashioned monster movie atmospherics , and genuine heart to create a film that 's not merely about kicking undead \*\*\* , but also about dealing with regret and , ultimately , finding redemption .",222983,0.86111,very positive,4,3487,1
"Comedian , like its subjects , delivers the goods and audiences will have a fun , no-frills ride .",64768,0.79167,positive,3,3919,1
Comedy troupe Broken Lizard 's first movie is very funny but too concerned with giving us a plot .,144555,0.52778,neutral,2,7239,1
Comes across as a fairly weak retooling .,183175,0.23611,negative,1,10412,1
"Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible .",144560,0.16667,very negative,0,6931,1
"Comes off as a long , laborious whine , the bellyaching of a paranoid and unlikable man .",183178,0.11111,very negative,0,11026,1
Comes off like a bad imitation of the Bard .,183180,0.33333,negative,1,9906,1
"Comes off more like a misdemeanor , a flat , unconvincing drama that never catches fire .",144563,0.23611,negative,1,6763,1
"Compared to his series of spectacular belly flops both on and off the screen , RunTelDat is something of a triumph .",64775,0.75,positive,3,2909,1
Compassionately explores the seemingly irreconcilable situation between conservative Christian parents and their estranged gay and lesbian children .,105170,0.65278,positive,3,4536,1
Compellingly watchable .,222987,0.83333,very positive,4,11629,1
Competently directed but terminally cute drama .,183182,0.70833,positive,3,11286,1
Completely awful Iranian drama ... as much fun as a grouchy ayatollah in a cold mosque .,105176,0.19444,very negative,0,5792,1
Completely creatively stillborn and executed in a manner that I 'm not sure could be a single iota worse ... a soulless hunk of exploitative garbage .,144577,0.055556,very negative,0,7011,1
"Complex , sinuously plotted and , somehow , off-puttingly cold .",144579,0.36111,negative,1,6768,1
"Compulsively watchable , no matter how degraded things get .",64778,0.77778,positive,3,4410,1
"Conceptually brilliant ... Plays like a living-room War Of The Worlds , gaining most of its unsettling force from the suggested and the unknown .",105179,0.76389,positive,3,5059,1
"Confessions is n't always coherent , but it 's sharply comic and surprisingly touching , so hold the gong .",64785,0.61111,positive,3,2745,1
Confessions is without a doubt a memorable directorial debut from King Hunk .,64786,0.76389,positive,3,3650,1
"Confessions may not be a straightforward bio , nor does it offer much in the way of Barris ' motivations , but the film is an oddly fascinating depiction of an architect of pop culture .",64794,0.61111,positive,3,2526,1
Conforms itself with creating a game of ` who 's who ' ... where the characters ' moves are often more predictable than their consequences .,144587,0.34722,negative,1,7227,1
Confounding because it solemnly advances a daringly preposterous thesis .,222989,0.44444,neutral,2,2779,1
"Confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve .",105190,0.13889,very negative,0,5772,1
"Confusion is one of my least favourite emotions , especially when I have to put up with 146 minutes of it .",222991,0.055556,very negative,0,5851,1
"Congrats Disney on a job well done , I enjoyed it just as much !",222993,0.94444,very positive,4,4961,1
Connoisseurs of Chinese film will be pleased to discover that Tian 's meticulous talent has not withered during his enforced hiatus .,105198,0.72222,positive,3,5204,1
Consider it ` perfection . ',222999,1,very positive,4,6131,1
Consider the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director I admire .,105204,0.27778,negative,1,6601,1
Consider this review life-affirming .,105206,0.51389,neutral,2,6624,1
Consistently clever and suspenseful .,105209,0.875,very positive,4,5102,1
Constantly slips from the grasp of its maker .,105211,0.18056,very negative,0,6701,1
"Constantly touching , surprisingly funny , semi-surrealist exploration of the creative act .",105216,0.75,positive,3,4528,1
Consummate actor Barry has done excellent work here .,64800,0.84722,very positive,4,4367,1
"Contains a few big laughs but many more that graze the funny bone or miss it altogether , in part because the consciously dumbed-down approach wears thin .",144602,0.26389,negative,1,6832,1
"Contains all the substance of a Twinkie -- easy to swallow , but scarcely nourishing .",183188,0.31944,negative,1,9670,1
"Contains the humor , characterization , poignancy , and intelligence of a bad sitcom .",105219,0.30556,negative,1,6351,1
"Content merely to lionize its title character and exploit his anger - all for easy sanctimony , formulaic thrills and a ham-fisted sermon on the need for national health insurance .",183194,0.25,negative,1,9929,1
"Continually challenges perceptions of guilt and innocence , of good guys and bad , and asks us whether a noble end can justify evil means .",105224,0.70833,positive,3,4772,1
Contradicts everything we 've come to expect from movies nowadays .,223000,0.63889,positive,3,2833,1
"Contrived , awkward and filled with unintended laughs , the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster .",144609,0.15278,very negative,0,6911,1
"Contrived , maudlin and cliche-ridden ... if this sappy script was the best the contest received , those rejected must have been astronomically bad .",183196,0.13889,very negative,0,9139,1
"Contrived as this may sound , Mr. Rose 's updating works surprisingly well .",223001,0.77778,positive,3,2624,1
Control-Alt-Delete Simone as quickly as possible,183203,0.11111,very negative,0,9341,1
Cool .,223002,0.66667,positive,3,1949,1
Cool gadgets and creatures keep this fresh .,223004,0.80556,very positive,4,4830,1
"Coppola 's directorial debut is an incredibly layered and stylistic film that , despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attempt at meaningful cinema .",44965,0.66667,positive,3,2096,1
Coppola has made a film of intoxicating atmosphere and little else .,144612,0.63889,positive,3,6963,1
Coral Reef Adventure is a heavyweight film that fights a good fight on behalf of the world 's endangered reefs -- and it lets the pictures do the punching .,64823,0.77778,positive,3,4348,1
"Costner 's warm-milk persona is just as ill-fitting as Shadyac 's perfunctory directing chops , and some of the more overtly silly dialogue would sink Laurence Olivier .",183212,0.20833,negative,1,10191,1
Could I have been more geeked when I heard that Apollo 13 was going to be released in IMAX format ?,223016,0.88889,very positive,4,2835,1
Could as easily have been called ` Under Siege 3 : In Alcatraz ' ... a cinematic corpse that never springs to life .,144631,0.23611,negative,1,6772,1
"Could have been crisper and punchier , but it 's likely to please audiences who like movies that demand four hankies .",64836,0.66667,positive,3,3690,1
Could n't someone take Rob Schneider and have him switch bodies with a funny person ?,105242,0.27778,negative,1,6564,1
Could this be the first major studio production shot on video tape instead of film ?,64839,0.33333,negative,1,3341,1
"Could use a little more humanity , but it never lacks in eye-popping visuals .",64844,0.66667,positive,3,2465,1
Count on his movie to work at the back of your neck long after you leave the theater .,105245,0.5,neutral,2,5042,1
"Coupling disgracefully written dialogue with flailing bodily movements that substitute for acting , Circuit is the awkwardly paced soap opera-ish story .",144641,0.22222,negative,1,7049,1
Courtney CHASES Stuart with a CELL PHONE .,105250,0.5,neutral,2,6612,1
Cox creates a fluid and mesmerizing sequence of images to match the words of Nijinsky 's diaries .,64845,0.68056,positive,3,3205,1
"Cox is far more concerned with aggrandizing madness , not the man , and the results might drive you crazy .",105255,0.45833,neutral,2,6578,1
"Cox offers plenty of glimpses at existing photos , but there are no movies of Nijinsky , so instead the director treats us to an aimless hodgepodge .",183219,0.19444,very negative,0,9188,1
"Coy but exhilarating , with really solid performances by Ving Rhames and Wesley Snipes .",64849,0.63889,positive,3,4278,1
Craig Bartlett and director Tuck Tucker should be commended for illustrating the merits of fighting hard for something that really matters .,64852,0.73611,positive,3,3557,1
"Crammed with incident , and bristles with passion and energy .",64858,0.79167,positive,3,4095,1
Credit director Ramsay for taking the sometimes improbable story and making it feel realistic .,64867,0.69444,positive,3,2987,1
"Creeps you out in high style , even if Nakata did it better .",64873,0.52778,neutral,2,3179,1
Cremaster 3 is at once a tough pill to swallow and a minor miracle of self-expression .,64875,0.63889,positive,3,2907,1
Crikey indeed .,223024,0.45833,neutral,2,11745,1
Criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes My Big Fat Greek Wedding look like an apartheid drama .,144664,0.68056,positive,3,7006,1
"Critics need a good laugh , too , and this too-extreme-for-TV rendition of the notorious MTV show delivers the outrageous , sickening , sidesplitting goods in steaming , visceral heaps .",105266,0.58333,neutral,2,5665,1
"Crossroads feels like a teenybopper Ed Wood film , replete with the pubescent scandalous innuendo and the high-strung but flaccid drama .",183236,0.097222,very negative,0,9625,1
"Crudup 's screen presence is the one thing that holds interest in the midst of a mushy , existential exploration of why men leave their families .",105272,0.68056,positive,3,6464,1
"Cruel and inhuman cinematic punishment ... simultaneously degrades its characters , its stars and its audience .",183243,0.125,very negative,0,10695,1
Crummy .,223029,0.13889,very negative,0,11833,1
Crush could be the worst film a man has made about women since Valley of the Dolls .,105273,0.041667,very negative,0,6534,1
Crush is so warm and fuzzy you might be able to forgive its mean-spirited second half .,105274,0.66667,positive,3,5474,1
"Cuaron repeatedly , perversely undercuts the joie de vivre even as he creates it , giving the movie a mournful undercurrent that places the good-time shenanigans in welcome perspective .",64886,0.81944,very positive,4,4387,1
"Cuba Gooding Jr. valiantly mugs his way through Snow Dogs , but even his boisterous energy fails to spark this leaden comedy .",223036,0.31944,negative,1,5970,1
Cube 's charisma and chemistry compensate for corniness and cliche .,64889,0.58333,neutral,2,3345,1
Culkin turns his character into what is basically an anti-Harry Potter -- right down to the Gryffindor scarf .,183252,0.44444,neutral,2,10882,1
"Curiously , Super Troopers suffers because it does n't have enough vices to merit its 103-minute length .",223037,0.33333,negative,1,10442,1
Curling may be a unique sport but Men with Brooms is distinctly ordinary .,105291,0.41667,neutral,2,5724,1
Cusack 's just brilliant in this .,44986,0.875,very positive,4,1941,1
Cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most .,64896,0.61111,positive,3,4116,1
Cynics need not apply . ',223040,0.48611,neutral,2,2171,1
"Daily struggles and simple pleasures usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails .",64906,0.83333,very positive,4,2904,1
Daring and beautifully made .,105308,0.80556,very positive,4,4551,1
"Daringly perceptive , taut , piercing and feisty , Biggie and Tupac is undeniably subversive and involving in its bold presentation .",64924,0.77778,positive,3,3783,1
"Dark and disturbing , yet compelling to watch .",45001,0.41667,neutral,2,1781,1
"Dark and unrepentant , this excursion into the epicenter of percolating mental instability is not easily dismissed or forgotten .",105310,0.73611,positive,3,4876,1
Darkly funny and frequently insightful .,64932,0.80556,very positive,4,2248,1
Daughter From Danang reveals that efforts toward closure only open new wounds .,223060,0.38889,negative,1,3580,1
Daughter From Danang sticks with its subjects a little longer and tells a deeper story,64935,0.66667,positive,3,3350,1
David Spade as Citizen Kane ?,223065,0.375,negative,1,10291,1
"Davis ' candid , archly funny and deeply authentic take on intimate relationships comes to fruition in her sophomore effort .",105326,0.61111,positive,3,4561,1
Davis ... gets vivid performances from her cast and pulls off some deft Ally McBeal-style fantasy sequences .,45009,0.88889,very positive,4,2169,1
"Davis has energy , but she does n't bother to make her heroine 's book sound convincing , the gender-war ideas original , or the comic scenes fly .",105335,0.52778,neutral,2,6170,1
"Davis is funny , charming and quirky in her feature film acting debut as Amy .",64948,0.75,positive,3,2939,1
"Davis the performer is plenty fetching enough , but she needs to shake up the mix , and work in something that does n't feel like a half-baked stand-up routine .",183297,0.43056,neutral,2,10927,1
"De Ayala is required to supply too much of the energy in a film that is , overall , far too staid for its subject matter .",183302,0.45833,neutral,2,10749,1
De Niro cries .,183303,0.47222,neutral,2,9790,1
DeMeo is not without talent ; he just needs better material .,183308,0.5,neutral,2,9383,1
"Deadly dull , pointless meditation on losers in a gone-to-seed hotel .",105351,0.34722,negative,1,5773,1
Death might be a release .,183317,0.23611,negative,1,9573,1
"Death to Smoochy is often very funny , but what 's even more remarkable is the integrity of DeVito 's misanthropic vision .",64967,0.75,positive,3,4071,1
"Death to Smoochy tells a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke .",223075,0.33333,negative,1,11142,1
Debate it .,223078,0.5,neutral,2,11671,1
Debut effort by `` Project Greenlight '' winner is sappy and amateurish .,223080,0.29167,negative,1,11453,1
"Decasia is what has happened already to so many silent movies , newsreels and the like .",223081,0.41667,neutral,2,2003,1
Decent but dull .,223085,0.31944,negative,1,11755,1
"Deep down , I realized the harsh reality of my situation : I would leave the theater with a lower I.Q. than when I had entered .",223087,0.15278,very negative,0,10043,1
"Deep intelligence and a warm , enveloping affection breathe out of every frame .",64974,0.90278,very positive,4,4180,1
Deepa Mehta provides an accessible introduction as well as some intelligent observations on the success of Bollywood in the Western world .,64977,0.76389,positive,3,2450,1
"Defies logic , the laws of physics and almost anyone 's willingness to believe in it .",45028,0.44444,neutral,2,2160,1
"Definitely a crowd-pleaser , but then , so was the Roman Colosseum .",183330,0.66667,positive,3,11260,1
"Definitely funny stuff , but it 's more of the ` laughing at ' variety than the ` laughing with . '",45036,0.73611,positive,3,2061,1
"Definitely in the guilty pleasure B-movie category , Reign of Fire is so incredibly inane that it is laughingly enjoyable .",183332,0.72222,positive,3,9377,1
Definitely worth 95 minutes of your time .,64981,0.88889,very positive,4,2501,1
"Deflated ending aside , there 's much to recommend the film .",64984,0.72222,positive,3,3021,1
Degenerates into hogwash .,223092,0.055556,very negative,0,11831,1
"Delia , Greta , and Paula rank as three of the most multilayered and sympathetic female characters of the year .",223093,0.875,very positive,4,4845,1
"Deliberately and devotedly constructed , Far from Heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",183335,0.70833,positive,3,9220,1
Deliberately and skillfully uses ambiguity to suggest possibilities which imbue the theme with added depth and resonance .,64989,0.73611,positive,3,3445,1
Deliciously mean-spirited and wryly observant .,105363,0.70833,positive,3,4640,1
Deliciously slow .,223094,0.68056,positive,3,11677,1
Delight your senses and crash this wedding !,223095,0.81944,very positive,4,5017,1
Delirious fun .,223097,0.83333,very positive,4,11706,1
Delivers more than its fair share of saucy hilarity .,64991,0.73611,positive,3,3784,1
Delivers roughly equal amounts of beautiful movement and inside information .,64992,0.76389,positive,3,4411,1
"Delivers the sexy razzle-dazzle that everyone , especially movie musical fans , has been hoping for .",64995,0.79167,positive,3,2916,1
Demme finally succeeds in diminishing his stature from Oscar-winning master to lowly studio hack .,183338,0.38889,negative,1,10367,1
"Demme gets a lot of flavor and spice into his Charade remake , but he ca n't disguise that he 's spiffing up leftovers that are n't so substantial or fresh .",183343,0.30556,negative,1,10312,1
Demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .,105372,0.79167,positive,3,5285,1
"Demonstrates the unusual power of thoughtful , subjective filmmaking .",64999,0.81944,very positive,4,3201,1
"Denis forges out of the theories of class - based rage and sisterly obsession a razor-sided tuning fork that rings with cultural , sexual and social discord .",65006,0.44444,neutral,2,2703,1
"Dense , exhilarating documentary .",223105,0.79167,positive,3,11719,1
Dense and enigmatic ... elusive ... stagy and stilted,223109,0.43056,neutral,2,11815,1
Dense and thoughtful and brimming with ideas that are too complex to be rapidly absorbed .,105375,0.58333,neutral,2,4745,1
Denver should not get the first and last look at one of the most triumphant performances of Vanessa Redgrave 's career .,105377,0.51389,neutral,2,5141,1
"Depending upon your reaction to this movie , you may never again be able to look at a red felt Sharpie pen without disgust , a thrill , or the giggles .",65011,0.59722,neutral,2,3950,1
"Depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it 's being .",144779,0.19444,very negative,0,6872,1
Depressingly thin and exhaustingly contrived .,223110,0.11111,very negative,0,10284,1
Derailed by bad writing and possibly also by some of that extensive post-production reworking to aim the film at young males in the throes of their first full flush of testosterone .,183358,0.083333,very negative,0,9981,1
Deserves a place of honor next to Nanook as a landmark in film history .,65018,0.77778,positive,3,2768,1
Deserves high marks for political courage but barely gets by on its artistic merits .,183359,0.51389,neutral,2,9982,1
Deserving of its critical backlash and more .,183362,0.30556,negative,1,10202,1
"Despite Auteuil 's performance , it 's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug .",144787,0.30556,negative,1,6849,1
"Despite Besson 's high-profile name being Wasabi 's big selling point , there is no doubt that Krawczyk deserves a huge amount of the credit for the film 's thoroughly winning tone .",45048,0.72222,positive,3,2126,1
"Despite Hoffman 's best efforts , Wilson remains a silent , lumpish cipher ; his encounters reveal nothing about who he is or who he was before .",183367,0.43056,neutral,2,9300,1
"Despite Juliet Stevenon 's attempt to bring cohesion to Pamela 's emotional roller coaster life , it is not enough to give the film the substance it so desperately needs .",183369,0.33333,negative,1,11530,1
"Despite a performance of sustained intelligence from Stanford and another of subtle humour from Bebe Neuwirth , as an older woman who seduces Oscar , the film founders on its lack of empathy for the social milieu - rich New York intelligentsia - and its off",223114,0.44444,neutral,2,5914,1
"Despite a quieter middle section , involving Aragorn 's dreams of Arwen , this is even better than The Fellowship .",223115,0.73611,positive,3,3183,1
"Despite all the closed-door hanky-panky , the film is essentially juiceless .",183371,0.15278,very negative,0,9839,1
"Despite an impressive roster of stars and direction from Kathryn Bigelow , The Weight of Water is oppressively heavy .",105381,0.20833,negative,1,6337,1
"Despite an overwrought ending , the film works as well as it does because of the performances .",105383,0.66667,positive,3,5448,1
"Despite bearing the Paramount imprint , it 's a bargain-basement European pickup .",223116,0.11111,very negative,0,7150,1
"Despite engaging offbeat touches , Knockaround Guys rarely seems interested in kicking around a raison d'etre that 's as fresh-faced as its young-guns cast .",105385,0.375,negative,1,5798,1
"Despite its Hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` Lilo '' could have been pulled from a tear-stained vintage Shirley Temple script .",223117,0.27778,negative,1,1850,1
"Despite its dry wit and compassion , the film suffers from a philosophical emptiness and maddeningly sedate pacing .",183373,0.26389,negative,1,10964,1
"Despite its faults , Gangs excels in spectacle and pacing .",105387,0.68056,positive,3,5174,1
"Despite its flaws , Crazy as Hell marks an encouraging new direction for La Salle .",65021,0.72222,positive,3,3384,1
Despite its flaws ... Belinsky is still able to create an engaging story that keeps you guessing at almost every turn .,65022,0.76389,positive,3,3839,1
"Despite its floating narrative , this is a remarkably accessible and haunting film .",65024,0.875,very positive,4,3679,1
"Despite its lavish formalism and intellectual austerity , the film manages to keep you at the edge of your seat with its shape-shifting perils , political intrigue and brushes with calamity .",65026,0.72222,positive,3,4021,1
"Despite its old-hat set-up and predictable plot , Empire still has enough moments to keep it entertaining .",65028,0.70833,positive,3,3449,1
"Despite its promising cast of characters , Big Trouble remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . '",183375,0.25,negative,1,9732,1
"Despite its raucous intent , XXX is as conventional as a Nike ad and as rebellious as spring break .",183377,0.48611,neutral,2,9325,1
"Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre .",45052,0.66667,positive,3,1806,1
"Despite its sincere acting , Signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype .",183379,0.27778,negative,1,9498,1
"Despite its visual virtuosity , ` Naqoyqatsi ' is banal in its message and the choice of material to convey it .",183381,0.25,negative,1,11008,1
Despite modest aspirations its occasional charms are not to be dismissed .,105389,0.68056,positive,3,4527,1
"Despite slick production values and director Roger Michell 's tick-tock pacing , the final effect is like having two guys yelling in your face for two hours .",183383,0.22222,negative,1,10123,1
"Despite some charm and heart , this quirky soccer import is forgettable",144808,0.33333,negative,1,6807,1
"Despite some comic sparks , Welcome to Collinwood never catches fire .",183385,0.25,negative,1,10654,1
"Despite some strong performances , never rises above the level of a telanovela .",183387,0.34722,negative,1,10627,1
"Despite suffering a sense-of-humour failure , The Man Who Wrote Rocky does not deserve to go down with a ship as leaky as this .",105393,0.20833,negative,1,6120,1
"Despite terrific special effects and funnier gags , Harry Potter and the Chamber of Secrets finds a way to make J.K. Rowling 's marvelous series into a deadly bore .",223120,0.18056,very negative,0,6466,1
"Despite the fact that this film was n't as bad as I thought it was going to be , it 's still not a good movie",105397,0.18056,very negative,0,6425,1
"Despite the film 's bizarre developments , Hoffman keeps us riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity .",65032,0.76389,positive,3,3926,1
"Despite the film 's shortcomings , the stories are quietly moving .",45058,0.70833,positive,3,1796,1
"Despite the holes in the story and the somewhat predictable plot , moments of the movie caused me to jump in my chair ...",183389,0.47222,neutral,2,10799,1
"Despite the opulent lushness of every scene , the characters never seem to match the power of their surroundings .",183391,0.29167,negative,1,11071,1
"Despite the predictable parent vs. child coming-of-age theme , first-class , natural acting and a look at `` the real Americans '' make this a charmer .",223122,0.80556,very positive,4,3589,1
"Despite the pyrotechnics , Narc is strictly by the book .",144818,0.5,neutral,2,7211,1
Despite the surface attractions -- Conrad L. Hall 's cinematography will likely be nominated for an Oscar next year -- there 's something impressive and yet lacking about everything .,223123,0.66667,positive,3,10156,1
"Despite these annoyances , the capable Clayburgh and Tambor really do a great job of anchoring the characters in the emotional realities of middle age .",105399,0.54167,neutral,2,4524,1
Deuces Wild is an encyclopedia of cliches that shoplifts shamelessly from farewell-to-innocence movies like The Wanderers and A Bronx Tale without cribbing any of their intelligence .,183399,0.33333,negative,1,10306,1
"Deuces Wild treads heavily into Romeo and Juliet\/West Side Story territory , where it plainly has no business going .",183401,0.20833,negative,1,11105,1
Devoid of any of the qualities that made the first film so special .,105404,0.083333,very negative,0,6105,1
"Devolves into the derivative , leaning on badly-rendered CGI effects .",183404,0.38889,negative,1,9448,1
"Devos and Cassel have tremendous chemistry -- their sexual and romantic tension , while never really vocalized , is palpable .",65045,0.91667,very positive,4,2594,1
Devos delivers a perfect performance that captures the innocence and budding demons within a wallflower .,65046,0.73611,positive,3,4221,1
"Devotees of Star Trek II : The Wrath of Khan will feel a nagging sense of deja vu , and the grandeur of the best Next Generation episodes is lacking .",105411,0.27778,negative,1,5129,1
Diane Lane 's sophisticated performance ca n't rescue Adrian Lyne 's Unfaithful from its sleazy moralizing .,105415,0.27778,negative,1,5971,1
Diane Lane works nothing short of a minor miracle in Unfaithful .,65051,0.80556,very positive,4,3142,1
"Diaz , Applegate , Blair and Posey are suitably kooky which should appeal to women and they strip down often enough to keep men alert , if not amused .",183406,0.68056,positive,3,11428,1
Diaz wears out her welcome in her most charmless performance,144832,0.11111,very negative,0,7072,1
Did it move me to care about what happened in 1915 Armenia ?,223131,0.5,neutral,2,6901,1
"Did no one on the set have a sense of humor , or did they not have the nerve to speak up ?",183414,0.30556,negative,1,10584,1
Did the film inform and educate me ?,223132,0.5,neutral,2,6899,1
Did we really need a remake of `` Charade ? '',223135,0.22222,negative,1,11398,1
"Die Another Day is only intermittently entertaining but it 's hard not to be a sucker for its charms , or perhaps it 's just impossible not to feel nostalgia for movies you grew up with .",105428,0.59722,neutral,2,5985,1
Diggs and Lathan are among the chief reasons Brown Sugar is such a sweet and sexy film .,65069,0.86111,very positive,4,2792,1
Dignified CEO 's meet at a rustic retreat and pee against a tree .,223140,0.33333,negative,1,5784,1
"Directed by Kevin Bray , whose crisp framing , edgy camera work , and wholesale ineptitude with acting , tone and pace very obviously mark him as a video helmer making his feature debut .",183429,0.76389,positive,3,10193,1
"Directed with purpose and finesse by England 's Roger Mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as Notting Hill to commercial fare with real thematic heft .",65073,0.86111,very positive,4,4259,1
"Directed without the expected flair or imagination by Hong Kong master John Woo , Windtalkers airs just about every cliche in the war movie compendium across its indulgent two-hour-and-fifteen-minute length .",105435,0.25,negative,1,6043,1
"Director Alfonso Cuaron gets vivid , convincing performances from a fine cast , and generally keeps things going at a rapid pace , occasionally using an omniscient voice-over narrator in the manner of French New Wave films .",65075,0.73611,positive,3,2332,1
Director Boris von Sychowski instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,144858,0.41667,neutral,2,6850,1
"Director Carl Franklin , so crisp and economical in One False Move , bogs down in genre cliches here .",105440,0.65278,positive,3,6648,1
Director Charles Stone III applies more detail to the film 's music than to the story line ; what 's best about Drumline is its energy .,65080,0.83333,very positive,4,3271,1
Director Chris Eyre is going through the paces again with his usual high melodramatic style of filmmaking .,183431,0.5,neutral,2,9281,1
"Director Chris Wedge and screenwriters Michael Berg , Michael J. Wilson and Peter Ackerman create some episodes that rival vintage Looney Tunes for the most creative mayhem in a brief amount of time .",223147,0.63889,positive,3,4482,1
Director Claude Chabrol has become the master of innuendo .,223148,0.73611,positive,3,2239,1
Director David Fincher and writer David Koepp ca n't sustain it .,183433,0.25,negative,1,9440,1
Director David Jacobson gives Dahmer a consideration that the murderer never game his victims .,45070,0.55556,neutral,2,2067,1
Director Douglas McGrath takes on Nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .,65082,0.069444,very negative,0,2862,1
"Director Elie Chouraqui , who co-wrote the script , catches the chaotic horror of war , but why bother if you 're going to subjugate truth to the tear-jerking demands of soap opera ?",183438,0.23611,negative,1,10248,1
"Director George Hickenlooper has had some success with documentaries , but here his sense of story and his juvenile camera movements smack of a film school undergrad , and his maudlin ending might not have gotten him into film school in the first place .",183444,0.22222,negative,1,10655,1
"Director Jay Russell stomps in hobnail boots over Natalie Babbitt 's gentle , endearing 1975 children 's novel .",183446,0.33333,negative,1,9229,1
Director Jay Russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,183447,0.16667,very negative,0,10775,1
"Director Juan Jose Campanella could have turned this into an Argentine retread of `` Iris '' or `` American Beauty , '' but instead pulls a little from each film and creates something more beautiful than either of those films .",223149,0.93056,very positive,4,3536,1
"Director Kevin Bray excels in breaking glass and marking off the `` Miami Vice '' checklist of power boats , Latin music and dog tracks .",223151,0.51389,neutral,2,11039,1
"Director Lee has a true cinematic knack , but it 's also nice to see a movie with its heart so thoroughly , unabashedly on its sleeve .",105450,0.83333,very positive,4,5525,1
Director Nancy Savoca 's no-frills record of a show forged in still-raw emotions captures the unsettled tenor of that post 9-11 period far better than a more measured or polished production ever could .,65088,0.94444,very positive,4,3208,1
Director Oliver Parker labors so hard to whip life into The Importance of Being Earnest that he probably pulled a muscle or two .,105452,0.47222,neutral,2,5863,1
"Director Paul Cox 's unorthodox , abstract approach to visualizing Nijinsky 's diaries is both stimulating and demanding .",65092,0.77778,positive,3,3713,1
Director Peter Kosminsky gives these women a forum to demonstrate their acting ` chops ' and they take full advantage .,65097,0.75,positive,3,2639,1
Director Roger Kumble offers just enough sweet and traditional romantic comedy to counter the crudity .,105454,0.70833,positive,3,5250,1
Director Roger Michell does so many of the little things right that it 's difficult not to cuss him out severely for bungling the big stuff .,144877,0.41667,neutral,2,6802,1
"Director Shekhar Kapur and screenwriters Michael Schiffer and Hossein Amini have tried hard to modernize and reconceptualize things , but the barriers finally prove to be too great .",183458,0.375,negative,1,9445,1
"Director Todd Solondz has made a movie about critical reaction to his two previous movies , and about his responsibility to the characters that he creates .",65099,0.66667,positive,3,4223,1
"Director Tom Dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut Shanghai Noon , but Showtime 's uninspired send-up of TV cop show cliches mostly leaves him shooting blanks .",105463,0.70833,positive,3,6150,1
Director Tom Shadyac and star Kevin Costner glumly mishandle the story 's promising premise of a physician who needs to heal himself .,183460,0.23611,negative,1,11508,1
"Director Uwe Boll and writer Robert Dean Klein fail to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , can not overcome blah characters .",144883,0.25,negative,1,7203,1
"Director Yu seems far more interested in gross-out humor than in showing us well-thought stunts or a car chase that we have n't seen 10,000 times .",223153,0.30556,negative,1,10853,1
