,phrase,phrase ids,sentiment values,overall sentiment,sentiment_value,sentence_index,splitset_label
262,Does little more than play an innocuous game of fill-in - the-blanks with a tragic past .,144932,0.36111,negative,1,7470,3
263,"Does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence .",144942,0.30556,negative,1,7556,3
264,"Dragonfly has no atmosphere , no tension -- nothing but Costner , flailing away .",144974,0.11111,very negative,0,7752,3
265,"Drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why .",45097,0.72222,positive,3,1578,3
266,"Due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality .",145001,0.29167,negative,1,7748,3
267,"Dull , lifeless , and amateurishly assembled .",145004,0.125,very negative,0,7707,3
268,Enormously entertaining for moviegoers of any age .,25230,0.86111,very positive,4,1144,3
269,"Entertains by providing good , lively company .",25235,0.72222,positive,3,1123,3
270,Equilibrium is what George Orwell might have imagined had today 's mood-altering drug therapy been envisioned by chemists in 1949 .,45152,0.59722,neutral,2,1380,3
271,"Escaping the studio , Piccoli is warmly affecting and so is this adroitly minimalist movie .",45157,0.63889,positive,3,1555,3
272,"Even film silliness needs a little gravity , beyond good hair and humping .",145156,0.40278,neutral,2,7874,3
273,Even horror fans will most likely not find what they 're seeking with Trouble Every Day ; the movie lacks both thrills and humor .,145161,0.125,very negative,0,7898,3
274,"Even in its most tedious scenes , Russian Ark is mesmerizing .",25252,0.68056,positive,3,1268,3
275,"Even in this less-than-magic kingdom , Reese rules .",145171,0.58333,neutral,2,7394,3
276,"Even on those rare occasions when the narrator stops yammering , Miller 's hand often feels unsure .",145177,0.31944,negative,1,7510,3
277,"Even the finest chef ca n't make a hotdog into anything more than a hotdog , and Robert De Niro ca n't make this movie anything more than a trashy cop buddy comedy .",145182,0.33333,negative,1,7623,3
278,"Even with a green Mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , Kilmer seems to be posing , rather than acting .",223277,0.27778,negative,1,7376,3
279,"Every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency .",45187,0.38889,negative,1,1529,3
280,Every nanosecond of the The New Guy reminds you that you could be doing something else far more pleasurable .,223286,0.36111,negative,1,7886,3
281,"Every time you look , Sweet Home Alabama is taking another bummer of a wrong turn .",145209,0.30556,negative,1,7789,3
282,Exactly what it claims to be -- a simple diversion for the kids .,145221,0.58333,neutral,2,7701,3
283,"Excessive , profane , packed with cartoonish violence and comic-strip characters .",145229,0.36111,negative,1,7414,3
284,"Exciting and direct , with ghost imagery that shows just enough to keep us on our toes .",45198,0.68056,positive,3,1598,3
285,Exists then as an occasionally insightful acting exercise .,145231,0.59722,neutral,2,7855,3
286,"Expect the same-old , lame-old slasher nonsense , just with different scenery .",145236,0.13889,very negative,0,7421,3
287,"Exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran Bouquet and the chilling but quite human Berling .",25273,0.98611,very positive,4,1199,3
288,Falls neatly into the category of Good Stupid Fun .,25277,0.73611,positive,3,1266,3
289,Fancy a real downer ?,145273,0.23611,negative,1,7686,3
290,"Far more imaginative and ambitious than the trivial , cash-in features Nickelodeon has made from its other animated TV series .",25291,0.80556,very positive,4,1216,3
291,"Feature debuter D.J. Caruso directs a crack ensemble cast , bringing screenwriter Tony Gayton 's narcotics noir to life .",223345,0.80556,very positive,4,1528,3
292,"Featuring a dangerously seductive performance from the great Daniel Auteuil , `` Sade '' covers the same period as Kaufmann 's `` Quills '' with more unsettlingly realistic results .",223347,0.83333,very positive,4,1632,3
293,"Feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot .",145310,0.19444,very negative,0,7650,3
294,Feels too formulaic and too familiar to produce the transgressive thrills of early underground work .,145322,0.22222,negative,1,7609,3
295,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands .,45241,1.0,very positive,4,1523,3
296,Filmmakers who can deftly change moods are treasures and even marvels .,223368,0.83333,very positive,4,1626,3
297,"First-time writer-director Serry shows a remarkable gift for storytelling with this moving , effective little film .",45265,0.79167,positive,3,1587,3
298,For AIDS and Africa are nothing more than part of the scenery .,223382,0.45833,neutral,2,7714,3
299,"For all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , Lily Chou-Chou never really builds up a head of emotional steam .",145419,0.30556,negative,1,7598,3
300,"For all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when Godard can no longer handle the rigors of filmmaking .",145423,0.055556,very negative,0,7744,3
301,"For all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution .",145427,0.27778,negative,1,7553,3
302,"For anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of Hell Houses in particular , it 's an eye-opener .",45275,0.625,positive,3,1346,3
303,"For close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one .",145431,0.36111,negative,1,7534,3
304,"For each chuckle there are at least 10 complete misses , many coming from the amazingly lifelike Tara Reid , whose acting skills are comparable to a cardboard cutout .",145433,0.22222,negative,1,7651,3
305,"For movie lovers as well as opera lovers , Tosca is a real treat .",45283,0.83333,very positive,4,1461,3
306,"For starters , the story is just too slim .",223402,0.33333,negative,1,7435,3
307,"For the first time in years , De Niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars .",25334,0.65278,positive,3,1293,3
308,"For the most part , director Anne-Sophie Birot 's first feature is a sensitive , extraordinarily well-acted drama .",25341,0.84722,very positive,4,1325,3
309,"For the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .",25342,0.93056,very positive,4,1330,3
310,For the most part Stevens glides through on some solid performances and witty dialogue .,25343,0.73611,positive,3,1185,3
311,"For this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- Chelsea Walls deserves a medal .",223411,0.73611,positive,3,7615,3
312,"Forced , familiar and thoroughly condescending .",145457,0.25,negative,1,7469,3
313,Forgettable horror -- more gory than psychological -- with a highly satisfying quotient of Friday-night excitement and Milla power .,45288,0.5,neutral,2,1408,3
314,Fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .,45315,0.625,positive,3,1403,3
315,"From the opening scenes , it 's clear that All About the Benjamins is a totally formulaic movie .",145511,0.29167,negative,1,7514,3
316,"Full of witless jokes , dealing in broad stereotypes and outrageously unbelievable scenarios , and saddled with a general air of misogyny",145520,0.41667,neutral,2,7380,3
317,"Fun , flip and terribly hip bit of cinematic entertainment .",25378,0.65278,positive,3,1264,3
318,Funny but perilously slight .,45339,0.66667,positive,3,1406,3
319,"Further proof that the epicenter of cool , beautiful , thought-provoking foreign cinema is smack-dab in the middle of Dubya 's Axis of Evil .",45343,0.625,positive,3,1496,3
320,"Generally , Clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes .",25395,0.77778,positive,3,1205,3
321,Generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down .,45360,0.59722,neutral,2,1552,3
322,"Given how heavy-handed and portent-heavy it is , this could be the worst thing Soderbergh has ever done .",145578,0.055556,very negative,0,7610,3
323,"Gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive .",45383,0.75,positive,3,1453,3
324,"Good car chases , great fight scenes , and a distinctive blend of European , American and Asian influences .",45393,0.73611,positive,3,1546,3
325,"Good film , but very glum .",223510,0.72222,positive,3,1355,3
326,Good old-fashioned slash-and-hack is back !,223513,0.68056,positive,3,1422,3
327,"Green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .",145651,0.18056,very negative,0,7764,3
328,Griffiths proves she 's that rare luminary who continually raises the standard of her profession .,45420,0.83333,very positive,4,1368,3
329,"Half Submarine flick , Half Ghost Story , All in one criminally neglected film",25470,0.47222,neutral,2,1122,3
330,"Hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people .",45431,0.63889,positive,3,1594,3
331,Harland Williams is so funny in drag he should consider permanent sex-reassignment .,145713,0.54167,neutral,2,7539,3
332,"Harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness .",45439,0.75,positive,3,1530,3
333,"Harrison 's Flowers puts its heart in the right place , but its brains are in no particular place at all .",145720,0.68056,positive,3,7565,3
334,Has a long and clunky ending ... which forces the audience to fidget through ten pseudo-serious minutes while waiting for the ending credits and the deleted scenes montage to break the audience 's awkward silence,145733,0.43056,neutral,2,7472,3
335,Has a lot of the virtues of Eastwood at his best .,25487,0.77778,positive,3,1282,3
336,Has all the depth of a wading pool .,145735,0.19444,very negative,0,7680,3
337,"Having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , Khouri then gets terrific performances from them all .",25497,0.94444,very positive,4,1299,3
338,Here 's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep .,25527,0.19444,very negative,0,1158,3
339,Hey Arnold !,145793,0.5,neutral,2,7411,3
340,Hey Arnold !,145793,0.5,neutral,2,7451,3
341,"Highbrow self-appointed guardians of culture need not apply , but those who loved Cool as Ice have at last found a worthy follow-up .",25546,0.625,positive,3,1306,3
342,Hilariously inept and ridiculous .,223655,0.75,positive,3,7606,3
343,"His comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level .",145820,0.20833,negative,1,7344,3
344,His healthy sense of satire is light and fun ...,223661,0.77778,positive,3,1658,3
345,"His last movie was poetically romantic and full of indelible images , but his latest has nothing going for it .",223666,0.13889,very negative,0,7646,3
346,Historical dramas fused with love triangle is a well worn conceit .,145826,0.47222,neutral,2,7839,3
347,Hit and miss as far as the comedy goes and a big ole ' miss in the way of story .,145835,0.27778,negative,1,7853,3
348,Holden Caulfield did it better .,145838,0.38889,negative,1,7481,3
349,Holm ... embodies the character with an effortlessly regal charisma .,45522,0.84722,very positive,4,1394,3
350,"Holy mad maniac in a mask , Splat-Man !",223684,0.58333,neutral,2,1421,3
351,"However it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .",145907,0.36111,negative,1,7894,3
352,Huppert 's superbly controlled display of murderous vulnerability ensures that malice has a very human face .,45541,0.58333,neutral,2,1334,3
353,Huston nails both the glad-handing and the choking sense of hollow despair .,25608,0.70833,positive,3,1196,3
354,I 'd have to say the star and director are the big problems here .,145934,0.22222,negative,1,7530,3
355,I 'll bet the video game is a lot more fun than the film .,145937,0.26389,negative,1,7588,3
356,I 'm just too bored to care .,145948,0.23611,negative,1,7863,3
357,"I 'm sure if you 're a Hartley fan , you might enjoy yourself ... Me , I did n't care for it .",145966,0.43056,neutral,2,7580,3
358,"I 've always dreamed of attending Cannes , but after seeing this film , it 's not that big a deal .",145980,0.375,negative,1,7653,3
359,I am sorry that I was unable to get the full brunt of the comedy .,145996,0.29167,negative,1,7338,3
360,I ca n't quite recommend it -- it 's too patched together -- but I almost can ; it 's the kind of movie that makes you want to like it .,146005,0.43056,neutral,2,7816,3
361,"I ca n't say that I liked Homeboy ; it 'd be more accurate to say that I found it intriguing , bizarre , Dogma-like in spots - and quite truthful , in its way .",45563,0.47222,neutral,2,1501,3
362,I can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers .,146023,0.34722,negative,1,7765,3
363,"I do n't mind having my heartstrings pulled , but do n't treat me like a fool .",146044,0.27778,negative,1,7592,3
364,I do n't think I laughed out loud once .,223787,0.19444,very negative,0,7639,3
365,"I felt sad for Lise not so much because of what happens as because she was captured by this movie when she obviously belongs in something lighter and sunnier , by Rohmer , for example .",146054,0.48611,neutral,2,7875,3
366,I got a headache watching this meaningless downer .,146065,0.15278,very negative,0,7361,3
367,I had to look away - this was god awful .,223806,0.027778,very negative,0,7393,3
368,"I have no way of knowing exactly how much is exaggeration , but I 've got a creepy feeling that the film is closer to the mark than I want to believe .",45580,0.56944,neutral,2,1494,3
369,I just loved every minute of this film .,45582,0.93056,very positive,4,1510,3
370,"I still ca n't relate to Stuart : He 's a mouse , for cryin ' out loud , and all he does is milk it with despondent eyes and whine that nobody treats him human enough .",146122,0.40278,neutral,2,7694,3
371,"I sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand .",223854,0.29167,negative,1,7704,3
372,I thought my own watch had stopped keeping time as I slogged my way through Clockstoppers .,146131,0.23611,negative,1,7459,3
373,"If I had been thinking about the visual medium , they would have been doing something wrong .",223897,0.43056,neutral,2,1337,3
374,If Steven Soderbergh 's ` Solaris ' is a failure it is a glorious failure .,45610,0.83333,very positive,4,1628,3
375,"If The Count of Monte Cristo does n't transform Caviezel into a movie star , then the game is even more rigged than it was two centuries ago .",25648,0.58333,neutral,2,1251,3
376,"If director Michael Dowse only superficially understands his characters , he does n't hold them in contempt .",25650,0.38889,negative,1,1254,3
377,"If it 's seldom boring , well , it 's also rarely coherent .",146192,0.48611,neutral,2,7485,3
378,"If looking for a thrilling sci-fi cinematic ride , do n't settle for this Imposter .",146194,0.38889,negative,1,7832,3
379,If only the story about a multi-million dollar con bothered to include the con .,146196,0.47222,neutral,2,7529,3
380,"If the first Men in Black was money , the second is small change .",223928,0.16667,very negative,0,1506,3
381,"If the movie succeeds in instilling a wary sense of ` there but for the grace of God , ' it is far too self-conscious to draw you deeply into its world .",146202,0.34722,negative,1,7417,3
382,"If there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam .",146204,0.125,very negative,0,7335,3
383,"If this disposable tissue has one wild card , it 's John Turturro , who 's simply fab as a Spanish butler with a foot fetish .",146206,0.58333,neutral,2,7684,3
384,If this story must be told and retold -- and indeed it must -- then The Grey Zone is to be lauded for finding a new and ingenious angle .,45617,0.40278,neutral,2,1651,3
385,"If you 're a WWF fan , or you related to the people who watched the robots getting butchered in A.I. , you 'll probably like Rollerball .",223938,0.59722,neutral,2,7638,3
386,"If you 're hard up for raunchy college humor , this is your ticket right here .",45623,0.69444,positive,3,1522,3
387,"If you 're in the mood for a Bollywood film , here 's one for you .",45625,0.56944,neutral,2,1581,3
388,"If you 've ever entertained the notion of doing what the title of this film implies , what Sex With Strangers actually shows may put you off the idea forever .",146236,0.38889,negative,1,7783,3
389,"If you 've ever wondered what an ending without the input of studio executives or test audiences would look like , here it is .",45631,0.48611,neutral,2,1597,3
390,"If you believe any of this , I can make you a real deal on leftover Enron stock that will double in value a week from Friday .",146238,0.26389,negative,1,7526,3
391,"If you can stomach the rough content , it 's worth checking out for the performances alone .",25663,0.70833,positive,3,1260,3
392,If you dig on David Mamet 's mind tricks ... rent this movie and enjoy !,45635,0.84722,very positive,4,1483,3
393,If you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you .,45637,0.91667,very positive,4,1601,3
394,If your taste runs to ` difficult ' films you absolutely ca n't miss it .,25667,0.75,positive,3,1255,3
395,"Immersing us in the endlessly inventive , fiercely competitive world of hip-hop DJs , the project is sensational and revelatory , even if scratching makes you itch .",45645,0.70833,positive,3,1495,3
396,"Impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly .",146278,0.22222,negative,1,7434,3
397,"In a way , the film feels like a breath of fresh air , but only to those that allow it in .",25677,0.80556,very positive,4,1148,3
398,"In all , this is a watchable movie that 's not quite the memorable experience it might have been .",45655,0.27778,negative,1,1333,3
399,"In an effort , I suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy .",146291,0.23611,negative,1,7537,3
400,"In exactly 89 minutes , most of which passed as slowly as if I 'd been sitting naked on an igloo , Formula 51 sank from quirky to jerky to utter turkey .",146299,0.097222,very negative,0,7528,3
401,"In execution , this clever idea is far less funny than the original , Killers From Space .",146301,0.23611,negative,1,7497,3
402,"In his first stab at the form , Jacquot takes a slightly anarchic approach that works only sporadically .",224020,0.43056,neutral,2,7493,3
403,"In its best moments , resembles a bad high school production of Grease , without benefit of song .",146304,0.11111,very negative,0,7341,3
404,"In spite of Good Housekeeping 's unsavory characters and WWF mentality , this white trash War of the Roses is a surprisingly engaging film .",25681,0.55556,neutral,2,1321,3
405,"In the end , the movie collapses on its shaky foundation despite the best efforts of director Joe Carnahan .",146314,0.18056,very negative,0,7784,3
406,"In the end , we are left with something like two ships passing in the night rather than any insights into gay love , Chinese society or the price one pays for being dishonest .",146315,0.20833,negative,1,7456,3
407,Indifferently implausible popcorn programmer of a movie .,146328,0.38889,negative,1,7342,3
408,"Inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat .",25689,0.75,positive,3,1295,3
409,"Instead , he shows them the respect they are due .",224063,0.86111,very positive,4,1576,3
410,"Instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life .",25695,0.72222,positive,3,1249,3
411,"Instead of hiding Pinocchio from critics , Miramax should have hidden it from everyone .",146334,0.0,very negative,0,7757,3
412,Intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject .,146348,0.72222,positive,3,7649,3
413,Involves two mysteries -- one it gives away and the other featuring such badly drawn characters that its outcome hardly matters .,146356,0.11111,very negative,0,7404,3
414,"Irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater .",146367,0.38889,negative,1,7864,3
415,"Is the time really ripe for a warmed-over James Bond adventure , with a village idiot as the 007 clone ?",146377,0.375,negative,1,7892,3
416,Is this love or is it masochism ?,224102,0.40278,neutral,2,1372,3
417,It 's a bad thing when a movie has about as much substance as its end credits blooper reel .,146394,0.16667,very negative,0,7710,3
418,It 's a beautiful madness .,224116,0.72222,positive,3,1551,3
419,It 's a bit disappointing that it only manages to be decent instead of dead brilliant .,45700,0.27778,negative,1,1348,3
420,It 's a buggy drag .,146400,0.31944,negative,1,7753,3
421,It 's a charming and often affecting journey .,45701,0.88889,very positive,4,1432,3
422,It 's a coming-of-age story we 've all seen bits of in other films -- but it 's rarely been told with such affecting grace and cultural specificity .,25727,0.54167,neutral,2,1179,3
423,"It 's a cookie-cutter movie , a cut-and-paste job .",146401,0.33333,negative,1,7507,3
424,It 's a feature-length adaptation of one of those `` Can This Marriage Be Saved ? '',224121,0.5,neutral,2,7577,3
425,It 's a grab bag of genres that do n't add up to a whole lot of sense .,146416,0.22222,negative,1,7617,3
426,It 's a lovely film with lovely performances by Buy and Accorsi .,25730,0.79167,positive,3,1117,3
427,"It 's a much more emotional journey than what Shyamalan has given us in his past two movies , and Gibson , stepping in for Bruce Willis , is the perfect actor to take us on the trip .",25732,0.75,positive,3,1208,3
428,It 's a remarkably solid and subtly satirical tour de force .,25736,0.83333,very positive,4,1143,3
429,It 's a scathing portrayal .,224131,0.45833,neutral,2,1446,3
430,"It 's a scattershot affair , but when it hits its mark it 's brilliant .",45725,0.61111,positive,3,1630,3
431,It 's a stunning lyrical work of considerable force and truth .,25737,0.76389,positive,3,1150,3
432,"It 's a trifle of a movie , with a few laughs surrounding an unremarkable soft center .",146427,0.44444,neutral,2,7480,3
433,It 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman .,45728,0.72222,positive,3,1634,3
434,"It 's about following your dreams , no matter what your parents think .",224144,0.66667,positive,3,7581,3
435,"It 's also , clearly , great fun .",25739,0.81944,very positive,4,1231,3
436,It 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .,45730,0.70833,positive,3,1426,3
437,"It 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible , pun-laden dialogue .",146447,0.20833,negative,1,7788,3
438,"It 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism .",146448,0.27778,negative,1,7359,3
439,"It 's as if you 're watching a movie that was made in 1978 but not released then because it was so weak , and it has been unearthed and released now , when it has become even weaker .",146451,0.11111,very negative,0,7495,3
440,It 's basically an overlong episode of Tales from the Crypt .,146453,0.40278,neutral,2,7812,3
441,"It 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination .",146467,0.22222,negative,1,7719,3
442,"It 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role .",146468,0.13889,very negative,0,7538,3
443,"It 's dumb , but more importantly , it 's just not scary .",146483,0.16667,very negative,0,7371,3
444,It 's everything you do n't go to the movies for .,146484,0.11111,very negative,0,7741,3
445,It 's fascinating to see how Bettany and McDowell play off each other .,25748,0.69444,positive,3,1200,3
446,It 's fun lite .,45733,0.65278,positive,3,1508,3
447,It 's great escapist fun that recreates a place and time that will never happen again .,45735,0.66667,positive,3,1545,3
448,It 's hampered by a Lifetime-channel kind of plot and a lead actress who is out of her depth .,146494,0.20833,negative,1,7776,3
449,It 's hard to imagine Alan Arkin being better than he is in this performance .,45736,0.79167,positive,3,1488,3
450,It 's hard to know whether or not to recommend this film because for every thing it does right there 's at least one and occasionally two things it gets ever so wrong .,146497,0.47222,neutral,2,7586,3
451,"It 's hard to like a film about a guy who is utterly unlikeable , and Shiner , starring Michael Caine as an aging British boxing promoter desperate for a taste of fame and fortune , is certainly that .",146502,0.33333,negative,1,7402,3
452,"It 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn .",146517,0.23611,negative,1,7343,3
453,"It 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .",146522,0.33333,negative,1,7902,3
454,It 's just filler .,224192,0.25,negative,1,7502,3
455,It 's like watching a nightmare made flesh .,45742,0.18056,very negative,0,1485,3
456,It 's made with deftly unsettling genre flair .,45743,0.63889,positive,3,1404,3
457,"It 's mighty tedious for the viewer who has to contend with unpleasant characters , hit-and-miss performances and awkwardly staged scenes .",146539,0.40278,neutral,2,7665,3
458,"It 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks .",146563,0.25,negative,1,7858,3
459,"It 's not that Kung Pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all Oedekerk 's impish augmentation .",146567,0.31944,negative,1,7541,3
460,It 's not the ultimate Depression-era gangster movie .,146570,0.36111,negative,1,7631,3
461,"It 's not without its pleasures , but I 'll stick with The Tune .",146581,0.55556,neutral,2,7625,3
462,"It 's of the quality of a lesser Harrison Ford movie - Six Days , Seven Nights , maybe , or that dreadful Sabrina remake .",146582,0.30556,negative,1,7406,3
463,It 's one heck of a character study -- not of Hearst or Davies but of the unique relationship between them .,45748,0.73611,positive,3,1377,3
464,"It 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible .",146597,0.75,positive,3,7572,3
465,It 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions .,146598,0.15278,very negative,0,7558,3
466,"It 's played in the most straight-faced fashion , with little humor to lighten things up .",146601,0.31944,negative,1,7879,3
467,It 's refreshing to see a girl-power movie that does n't feel it has to prove anything .,25763,0.84722,very positive,4,1188,3
468,"It 's slow -- very , very slow .",224237,0.13889,very negative,0,7630,3
469,"It 's so good that its relentless , polished wit can withstand not only inept school productions , but even Oliver Parker 's movie adaptation .",224238,0.79167,positive,3,1640,3
470,It 's so good that you can practically see the Hollywood ` suits ' trying to put together the cast and filmmaking team for the all-too - inevitable American remake .,45751,0.55556,neutral,2,1385,3
471,"It 's so mediocre , despite the dynamic duo on the marquee , that we just ca n't get no satisfaction .",146618,0.34722,negative,1,7641,3
472,"It 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way .",45756,0.34722,negative,1,1596,3
473,"It 's sweet , harmless , dumb , occasionally funny and about as compelling as a fishing show .",146621,0.43056,neutral,2,7442,3
474,It 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of Anna Chancellor that makes this `` Two Weddings and a Funeral '' fun .,224253,0.875,very positive,4,1289,3
475,It 's the perfect kind of film to see when you do n't want to use your brain .,224255,0.58333,neutral,2,1525,3
476,It 's too bad that the helping hand he uses to stir his ingredients is also a heavy one .,224258,0.34722,negative,1,7696,3
477,"It 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic .",146631,0.36111,negative,1,7350,3
478,It 's unnerving to see Recoing 's bizzarre reaction to his unemployment .,224266,0.54167,neutral,2,1354,3
479,"It 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .",25771,0.69444,positive,3,1189,3
480,It all adds up to good fun .,25773,0.76389,positive,3,1272,3
481,It all drags on so interminably it 's like watching a miserable relationship unfold in real time .,146637,0.13889,very negative,0,7356,3
482,It all feels like a Monty Python sketch gone horribly wrong .,146638,0.19444,very negative,0,7868,3
483,It appears that something has been lost in the translation to the screen .,146640,0.30556,negative,1,7407,3
484,"It believes it 's revealing some great human truths , when , in reality , it 's churning ground that has long passed the point of being fertile .",146647,0.41667,neutral,2,7355,3
485,"It ca n't decide if it wants to be a mystery\/thriller , a romance or a comedy .",146648,0.33333,negative,1,7802,3
486,"It can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull .",224274,0.041667,very negative,0,7656,3
487,It confirms Fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight .,45777,0.83333,very positive,4,1439,3
488,It conveys a simple message in a visual style that is willfully overwrought .,146651,0.55556,neutral,2,7385,3
489,It deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,25776,0.76389,positive,3,1285,3
490,"It does n't believe in itself , it has no sense of humor ... it 's just plain bored .",224282,0.15278,very negative,0,7574,3
491,"It does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28K modem .",146672,0.23611,negative,1,7488,3
492,"It feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes .",146681,0.13889,very negative,0,7383,3
493,"It gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right .",45779,0.72222,positive,3,1569,3
494,It has all the excitement of eating oatmeal .,146696,0.38889,negative,1,7585,3
495,"It has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .",45784,0.72222,positive,3,1360,3
496,"It has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death .",146697,0.30556,negative,1,7439,3
497,"It has the ability to offend and put off everyone , but it holds you with its outrageousness .",45795,0.56944,neutral,2,1429,3
498,"It has the charm of the original American road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland .",25782,0.77778,positive,3,1331,3
499,"It haunts , horrifies , startles and fascinates ; it is impossible to look away .",224315,0.81944,very positive,4,1358,3
500,"It haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .",45803,0.625,positive,3,1457,3
501,It inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . ',45804,0.83333,very positive,4,1351,3
502,"It is amusing , and that 's all it needs to be .",45813,0.90278,very positive,4,1395,3
503,It is great summer fun to watch Arnold and his buddy Gerald bounce off a quirky cast of characters .,45815,0.79167,positive,3,1362,3
504,"It is the sheer , selfish , wound-licking , bar-scrapping doggedness of Leon 's struggle to face and transmute his demons that makes the movie a spirited and touching occasion , despite its patchy construction .",45820,0.54167,neutral,2,1486,3
505,"It just may inspire a few younger moviegoers to read Stevenson 's book , which is a treasure in and of itself .",45821,0.75,positive,3,1405,3
506,"It kinda works and qualifies as cool at times , but is just too lame to work or be cool at others .",146712,0.47222,neutral,2,7647,3
507,It made me want to wrench my eyes out of my head and toss them at the screen .,146718,0.38889,negative,1,7747,3
508,"It may seem long at 110 minutes if you 're not a fan , because it includes segments of 12 songs at a reunion concert .",45827,0.40278,neutral,2,1410,3
509,"It moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the Cold War datedness -- of its premise .",25797,0.63889,positive,3,1140,3
