,phrase,phrase ids,sentiment values,overall sentiment,sentiment_value,sentence_index,splitset_label
6017,"The film is a masterpiece of nuance and characterization , marred only by an inexplicable , utterly distracting blunder at the very end .",69551,0.48611,neutral,2,2945,1
6018,The film is a verbal duel between two gifted performers .,47064,0.83333,very positive,4,2010,1
6019,The film is a very good viewing alternative for young women .,69552,0.77778,positive,3,3654,1
6020,The film is about the relationships rather than about the outcome .,69553,0.5,neutral,2,3467,1
6021,"The film is all over the place , really .",188192,0.16667,very negative,0,11111,1
6022,"The film is an earnest try at beachcombing verismo , but it would be even more indistinct than it is were it not for the striking , quietly vulnerable personality of Ms. Ambrose .",226270,0.27778,negative,1,4713,1
6023,The film is bright and flashy in all the right ways .,69557,0.875,very positive,4,4114,1
6024,"The film is darkly atmospheric , with Herrmann quietly suggesting the sadness and obsession beneath Hearst 's forced avuncular chortles .",69558,0.43056,neutral,2,4236,1
6025,The film is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work .,69559,0.83333,very positive,4,3440,1
6026,The film is delicately narrated by Martin Landau and directed with sensitivity and skill by Dana Janklowicz-Mann .,109811,0.70833,positive,3,5031,1
6027,"The film is enriched by an imaginatively mixed cast of antic spirits , headed by Christopher Plummer as the subtlest and most complexly evil Uncle Ralph I 've ever seen in the many film and stage adaptations of the work .",69560,0.81944,very positive,4,4176,1
6028,"The film is explosive , but a few of those sticks are wet .",226275,0.54167,neutral,2,6739,1
6029,"The film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders , but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the mentally ill .",69565,0.70833,positive,3,3349,1
6030,The film is flat .,149418,0.36111,negative,1,6781,1
6031,The film is full of charm .,69566,0.75,positive,3,2946,1
6032,"The film is grossly contradictory in conveying its social message , if indeed there is one .",188194,0.23611,negative,1,10302,1
6033,The film is hampered by its predictable plot and paper-thin supporting characters .,188195,0.25,negative,1,9533,1
6034,"The film is hard to dismiss -- moody , thoughtful , and lit by flashes of mordant humor .",109813,0.77778,positive,3,5546,1
6035,The film is impressive for the sights and sounds of the wondrous beats the world has to offer .,69567,0.83333,very positive,4,2903,1
6036,The film is insightful about Kissinger 's background and history .,69568,0.66667,positive,3,2607,1
6037,"The film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .",69569,0.93056,very positive,4,4460,1
6038,"The film is old-fashioned , occasionally charming and as subtle as boldface .",149421,0.72222,positive,3,7169,1
6039,The film is one of the year 's best .,69570,0.88889,very positive,4,4255,1
6040,The film is predictable in the reassuring manner of a beautifully sung holiday carol .,69571,0.77778,positive,3,2425,1
6041,The film is really closer to porn than a serious critique of what 's wrong with this increasingly pervasive aspect of gay culture .,149422,0.25,negative,1,7258,1
6042,"The film is reasonably entertaining , though it begins to drag two-thirds through , when the melodramatic aspects start to overtake the comedy .",69572,0.66667,positive,3,2470,1
6043,The film is saved from are n't - kids-cute sentimentality by a warmth that is n't faked and a stately sense of composition .,69574,0.61111,positive,3,3558,1
6044,"The film is small in scope , yet perfectly formed .",109814,0.84722,very positive,4,4714,1
6045,The film is so bad it does n't improve upon the experience of staring at a blank screen .,188197,0.055556,very negative,0,9920,1
6046,"The film is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own .",188198,0.16667,very negative,0,9747,1
6047,The film is so packed with subplots involving the various Silbersteins that it feels more like the pilot episode of a TV series than a feature film .,188199,0.29167,negative,1,9835,1
6048,The film is strictly routine .,188200,0.33333,negative,1,11464,1
6049,The film is ultimately about as inspiring as a Hallmark card .,188201,0.375,negative,1,9423,1
6050,The film is undone by anachronistic quick edits and occasional jarring glimpses of a modern theater audience watching the events unfold .,188202,0.33333,negative,1,10013,1
6051,"The film is visually dazzling , the depicted events dramatic , funny and poignant .",47080,0.97222,very positive,4,2086,1
6052,The film is way too full of itself ; it 's stuffy and pretentious in a give-me-an-Oscar kind of way .,188206,0.31944,negative,1,11085,1
6053,"The film is weighed down by supporting characters who are either too goodly , wise and knowing or downright comically evil .",188207,0.23611,negative,1,9919,1
6054,The film itself is about something very interesting and odd that would probably work better as a real documentary without the insinuation of mediocre acting or a fairly trite narrative .,109816,0.22222,negative,1,6503,1
6055,The film jolts the laughs from the audience -- as if by cattle prod .,69576,0.75,positive,3,2502,1
6056,"The film just might turn on many people to opera , in general , an art form at once visceral and spiritual , wonderfully vulgar and sublimely lofty -- and as emotionally grand as life .",69578,0.83333,very positive,4,2295,1
6057,The film lapses too often into sugary sentiment and withholds delivery on the pell-mell pyrotechnics its punchy style promises .,149426,0.25,negative,1,6913,1
6058,"The film makes strong arguments regarding the social status of America 's indigenous people , but really only exists to try to eke out an emotional tug of the heart , one which it fails to get .",109821,0.41667,neutral,2,6610,1
6059,"The film may not hit as hard as some of the better drug-related pictures , but it still manages to get a few punches in .",109826,0.56944,neutral,2,5483,1
6060,The film never finds its tone and several scenes run too long .,188208,0.27778,negative,1,10719,1
6061,"The film never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .",188209,0.36111,negative,1,11145,1
6062,"The film occasionally tries the viewer 's patience with slow pacing and a main character who sometimes defies sympathy , but it ultimately satisfies with its moving story .",109831,0.66667,positive,3,5396,1
6063,The film offers an intriguing what-if premise .,47084,0.83333,very positive,4,1789,1
6064,The film oozes craft .,109832,0.77778,positive,3,4789,1
6065,The film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .,69579,0.73611,positive,3,2777,1
6066,The film proves unrelentingly grim -- and equally engrossing .,69580,0.73611,positive,3,3659,1
6067,The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .,188213,0.18056,very negative,0,10833,1
6068,"The film reminds me of a vastly improved Germanic version of My Big Fat Greek Wedding -- with better characters , some genuine quirkiness and at least a measure of style .",226282,0.77778,positive,3,4007,1
6069,The film runs on a little longer than it needs to -- Muccino either does n't notice when his story ends or just ca n't tear himself away from the characters -- but it 's smooth and professional .,69590,0.34722,negative,1,2996,1
6070,"The film sometimes flags ... but there is enough secondary action to keep things moving along at a brisk , amusing pace .",109837,0.58333,neutral,2,4932,1
6071,"The film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from Paul 's perspective .",47089,0.66667,positive,3,1913,1
6072,The film sparkles with the the wisdom and humor of its subjects .,47090,0.88889,very positive,4,2143,1
6073,"The film starts promisingly , but the ending is all too predictable and far too cliched to really work .",109842,0.25,negative,1,6115,1
6074,The film thrusts the inchoate but already eldritch Christian Right propaganda machine into national media circles .,109843,0.41667,neutral,2,6573,1
6075,The film tries to touch on spousal abuse but veers off course and becomes just another revenge film .,188214,0.51389,neutral,2,9270,1
6076,The film ultimately offers nothing more than people in an urban jungle needing other people to survive ...,109846,0.33333,negative,1,6452,1
6077,The film virtually chokes on its own self-consciousness .,188215,0.5,neutral,2,9351,1
6078,The film was immensely enjoyable thanks to great performances by both Steve Buscemi and Rosario Dawson ...,109847,0.93056,very positive,4,5263,1
6079,"The film was n't preachy , but it was feminism by the book .",109852,0.44444,neutral,2,6545,1
6080,The film will appeal to Discovery Channel fans and will surely widen the perspective of those of us who see the continent through rose-colored glasses .,109853,0.59722,neutral,2,5071,1
6081,"The film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama , ' but the emphasis on the latter leaves Blue Crush waterlogged .",109859,0.29167,negative,1,6399,1
6082,The filmmaker 's heart is in the right place ...,188220,0.59722,neutral,2,11572,1
6083,"The filmmaker ascends , literally , to the Olympus of the art world , but he would have done well to end this flawed , dazzling series with the raising of something other than his own cremaster .",188225,0.44444,neutral,2,9343,1
6084,The filmmakers ' eye for detail and the high standards of performance convey a strong sense of the girls ' environment .,69596,0.79167,positive,3,2490,1
6085,"The filmmakers are playing to the Big Boys in New York and L.A. To that end , they mock the kind of folks they do n't understand , ones they figure the power-lunchers do n't care to understand , either .",226286,0.25,negative,1,11285,1
6086,The filmmakers keep pushing the jokes at the expense of character until things fall apart .,188228,0.22222,negative,1,11380,1
6087,"The filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .",188233,0.61111,positive,3,9582,1
6088,The filmmakers lack the nerve ... to fully exploit the script 's potential for sick humor .,109860,0.40278,neutral,2,6544,1
6089,The filmmakers might want to look it up .,109861,0.48611,neutral,2,6582,1
6090,The filmmakers needed more emphasis on the storytelling and less on the glamorous machine that thrusts the audience into a future they wo n't much care about .,188234,0.30556,negative,1,9540,1
6091,"The filmmakers try to balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching .",69597,0.68056,positive,3,3504,1
6092,"The filmmakers want nothing else than to show us a good time , and in their cheap , B movie way , they succeed .",47096,0.72222,positive,3,1990,1
6093,"The filmmakers wisely decided to let Crocodile Hunter Steve Irwin do what he does best , and fashion a story around him .",69598,0.65278,positive,3,3737,1
6094,The first Bond movie in ages that is n't fake fun .,69601,0.75,positive,3,4061,1
6095,The first Fatal Attraction was vile enough .,226287,0.15278,very negative,0,6785,1
6096,"The first Tunisian film I have ever seen , and it 's also probably the most good-hearted yet sensual entertainment I 'm likely to see all year .",69607,0.94444,very positive,4,3864,1
6097,The first five minutes will have you talking 'til the end of the year !,226288,0.77778,positive,3,2999,1
6098,The first half bursts with a goofy energy previous Disney films only used for a few minutes here and there .,69611,0.43056,neutral,2,3794,1
6099,"The first hour is tedious though Ford and Neeson capably hold our interest , but its just not a thrilling movie .",188236,0.34722,negative,1,9317,1
6100,"The first mistake , I suspect , is casting Shatner as a legendary professor and Kunis as a brilliant college student -- where 's Pauly Shore as the rocket scientist ?",188239,0.23611,negative,1,10959,1
6101,The first question to ask about Bad Company is why Anthony Hopkins is in it .,226290,0.27778,negative,1,11228,1
6102,The first shocking thing about Sorority Boys is that it 's actually watchable .,226291,0.66667,positive,3,5454,1
6103,The footage of the rappers at play and the prison interview with Suge Knight are just two of the elements that will grab you .,109867,0.68056,positive,3,5004,1
6104,The formula is familiar but enjoyable .,109869,0.69444,positive,3,4586,1
6105,"The fourth `` Pokemon '' is a diverting -- if predictable -- adventure suitable for a matinee , with a message that cautions children about disturbing the world 's delicate ecological balance .",226293,0.65278,positive,3,4837,1
6106,The fourth in a series that I 'll bet most parents had thought -- hoped !,226297,0.54167,neutral,2,10864,1
6107,"The fun of the movie is the chance it affords to watch Jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad .",69620,0.80556,very positive,4,3188,1
6108,"The funny thing is , I did n't mind all this contrived nonsense a bit .",47103,0.58333,neutral,2,2029,1
6109,"The gags , and the script , are a mixed bag .",109877,0.38889,negative,1,5791,1
6110,The gags are often a stitch .,69622,0.65278,positive,3,3905,1
6111,The gags that fly at such a furiously funny pace that the only rip off that we were aware of was the one we felt when the movie ended so damned soon .,109879,0.84722,very positive,4,5620,1
6112,"The genius of the work speaks volumes , offering up a hallucinatory dreamscape that frustrates and captivates .",69625,0.86111,very positive,4,4161,1
6113,The gentle comic treatment of adolescent sturm und drang should please fans of Chris Fuhrman 's posthumously published cult novel .,47106,0.79167,positive,3,2238,1
6114,"The gifted Crudup has the perfect face to play a handsome blank yearning to find himself , and his cipherlike personality and bad behavior would play fine if the movie knew what to do with him .",188253,0.31944,negative,1,9159,1
6115,"The good is very , very good ... The rest runs from mildly unimpressive to despairingly awful .",188258,0.41667,neutral,2,9366,1
6116,The good thing -- the only good thing -- about Extreme Ops is that it 's so inane that it gave me plenty of time to ponder my Thanksgiving to-do list .,188262,0.41667,neutral,2,9224,1
6117,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,226300,0.83333,very positive,4,2,1
6118,"The graphic carnage and re-creation of war-torn Croatia is uncomfortably timely , relevant , and sickeningly real .",69628,0.66667,positive,3,4092,1
6119,"The great pity is that those responsible did n't cut their losses -- and ours -- and retitle it The Adventures of Direct-to-Video Nash , and send it to its proper home .",188264,0.27778,negative,1,10699,1
6120,The hackneyed story about an affluent damsel in distress who decides to fight her bully of a husband is simply too overdone .,109882,0.33333,negative,1,6470,1
6121,"The hard-to-predict and absolutely essential chemistry between the down-to-earth Bullock and the nonchalant Grant proves to be sensational , and everything meshes in this elegant entertainment .",47113,0.80556,very positive,4,2058,1
6122,"The heart of the film is a touching reflection on aging , suffering and the prospect of death .",69631,0.61111,positive,3,3064,1
6123,The heat of the moment prevails .,226302,0.61111,positive,3,2700,1
6124,"The high-concept scenario soon proves preposterous , the acting is robotically italicized , and truth-in-advertising hounds take note : There 's very little hustling on view .",188271,0.25,negative,1,11501,1
6125,The history is fascinating ; the action is dazzling .,226304,0.86111,very positive,4,4012,1
6126,"The histrionic muse still eludes Madonna and , playing a charmless witch , she is merely a charmless witch .",188274,0.23611,negative,1,11424,1
6127,"The holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot .",188280,0.22222,negative,1,9331,1
6128,The holiday message of the 37-minute Santa vs. the Snowman leaves a lot to be desired .,226306,0.20833,negative,1,10868,1
6129,"The hook is the drama within the drama , as an unsolved murder and an unresolved moral conflict jockey for the spotlight .",109887,0.63889,positive,3,4628,1
6130,The hot topics of the plot are relegated to the background -- a welcome step forward from the Sally Jesse Raphael atmosphere of films like Philadelphia and American Beauty .,47116,0.68056,positive,3,2234,1
6131,The humor and humanity of Monsoon Wedding are in perfect balance .,47119,0.65278,positive,3,1809,1
6132,"The huskies are beautiful , the border collie is funny and the overall feeling is genial and decent .",69646,0.73611,positive,3,2297,1
6133,The hypnotic imagery and fragmentary tale explore the connections between place and personal identity .,109889,0.69444,positive,3,4966,1
6134,"The idea is more interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of Run Lola Run .",188284,0.26389,negative,1,10720,1
6135,"The images are usually abbreviated in favor of mushy obviousness and telegraphed pathos , particularly where Whitaker 's misfit artist is concerned .",109891,0.5,neutral,2,6264,1
6136,"The images lack contrast , are murky and are frequently too dark to be decipherable .",226309,0.22222,negative,1,6401,1
6137,The immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D .,69649,0.83333,very positive,4,4317,1
6138,"The impulses that produced this project ... are commendable , but the results are uneven .",149482,0.45833,neutral,2,6967,1
6139,"The increasingly diverse French director has created a film that one can honestly describe as looking , sounding and simply feeling like no other film in recent history .",109894,0.875,very positive,4,5325,1
6140,"The inevitable double - and triple-crosses arise , but the only drama is in waiting to hear how John Malkovich 's reedy consigliere will pronounce his next line .",109901,0.45833,neutral,2,6312,1
6141,The ingenuity that Parker displays in freshening the play is almost in a class with that of Wilde himself .,47122,0.88889,very positive,4,2002,1
6142,The inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror\/action hybrid .,109904,0.22222,negative,1,5991,1
6143,The innate theatrics that provide its thrills and extreme emotions lose their luster when flattened onscreen .,226312,0.125,very negative,0,9838,1
6144,The innocence of holiday cheer ai n't what it used to be .,109907,0.54167,neutral,2,6595,1
6145,The irony is that this film 's cast is uniformly superb ; their performances could have -- should have -- been allowed to stand on their own .,188291,0.63889,positive,3,9780,1
6146,The isolated moments of creative insanity finally are lost in the thin soup of canned humor .,109910,0.48611,neutral,2,6417,1
6147,"The jokes are flat , and the action looks fake .",109918,0.16667,very negative,0,6211,1
6148,"The jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious .",149495,0.15278,very negative,0,6776,1
6149,The jokes are telegraphed so far in advance they must have been lost in the mail .,188293,0.22222,negative,1,10780,1
6150,"The journey is worth your time , especially if you have Ellen Pompeo sitting next to you for the ride .",109919,0.75,positive,3,4529,1
6151,"The journey to the secret 's eventual discovery is a separate adventure , and thrill enough .",69659,0.73611,positive,3,2246,1
6152,"The kids in the audience at the preview screening seemed bored , cheering the pratfalls but little else ; their parents , wise folks that they are , read books .",188300,0.27778,negative,1,9143,1
6153,The kind of film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill-advised and poorly executed idea .,188302,0.083333,very negative,0,9965,1
6154,"The kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",69661,0.88889,very positive,4,4139,1
6155,The kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics .,188304,0.38889,negative,1,10566,1
6156,The kind of primal storytelling that George Lucas can only dream of .,109921,0.61111,positive,3,4641,1
6157,The kind of sense of humor that derives from a workman 's grasp of pun and entendre and its attendant need to constantly draw attention to itself .,109923,0.5,neutral,2,4709,1
6158,The kind of sweet-and-sour insider movie that film buffs will eat up like so much gelati .,69663,0.81944,very positive,4,3414,1
6159,The kind of trifle that date nights were invented for . .,226314,0.51389,neutral,2,5542,1
6160,The large-format film is well suited to capture these musicians in full regalia and the incredible IMAX sound system lets you feel the beat down to your toes .,69668,0.91667,very positive,4,4137,1
6161,"The large-frame IMAX camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers .",47129,0.93056,very positive,4,1888,1
6162,"The last scenes of the film are anguished , bitter and truthful .",226317,0.76389,positive,3,1929,1
6163,The last three narcissists left on earth compete for each others ' affections .,188307,0.47222,neutral,2,10819,1
6164,The latest Adam Sandler assault and possibly the worst film of the year .,149519,0.041667,very negative,0,7232,1
6165,The latest vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen .,188308,0.34722,negative,1,10272,1
6166,The laughs are as rare as snake foo yung .,188310,0.34722,negative,1,10501,1
6167,The lead actors share no chemistry or engaging charisma .,188312,0.19444,very negative,0,11386,1
6168,"The leads are natural and lovely , the pace is serene , the humor wry and sprightly .",226318,0.80556,very positive,4,3922,1
6169,"The leads are so unmemorable , despite several attempts at lengthy dialogue scenes , that one eventually resents having to inhale this gutter romancer 's secondhand material .",188314,0.083333,very negative,0,10262,1
6170,The leads we are given here are simply too bland to be interesting .,188316,0.25,negative,1,10753,1
6171,The leanest and meanest of Solondz 's misanthropic comedies .,69673,0.69444,positive,3,4035,1
6172,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",47140,0.625,positive,3,1695,1
6173,The level of acting elevates the material above pat inspirational status and gives it a sturdiness and solidity that we 've long associated with Washington the actor .,69675,0.77778,positive,3,3781,1
6174,"The lightest , most breezy movie Steven Spielberg has made in more than a decade .",69679,0.75,positive,3,4029,1
6175,The limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .,47144,0.54167,neutral,2,1925,1
6176,"The little girls understand , and McCracken knows that 's all that matters .",226321,0.75,positive,3,5123,1
6177,The lively appeal of The Last Kiss lies in the ease with which it integrates thoughtfulness and pasta-fagioli comedy .,109937,0.80556,very positive,4,5671,1
6178,The locale ... remains far more interesting than the story at hand .,188318,0.375,negative,1,10665,1
6179,The locations go from stark desert to gorgeous beaches .,109939,0.61111,positive,3,5040,1
6180,The logic of it all will be Greek to anyone not predisposed to the movie 's rude and crude humor .,188321,0.19444,very negative,0,10769,1
6181,The lousy John Q all but spits out Denzel Washington 's fine performance in the title role .,188323,0.29167,negative,1,9832,1
6182,The lousy lead performances ... keep the movie from ever reaching the comic heights it obviously desired .,188325,0.20833,negative,1,10413,1
6183,"The low-key direction is pleasingly emphatic in this properly intense , claustrophobic tale of obsessive love .",69684,0.75,positive,3,3160,1
6184,"The main characters are simply named The Husband , The Wife and The Kidnapper , emphasizing the disappointingly generic nature of the entire effort .",188327,0.18056,very negative,0,11297,1
6185,The main problem being that it 's only a peek .,226325,0.47222,neutral,2,3255,1
6186,"The main story ... is compelling enough , but it 's difficult to shrug off the annoyance of that chatty fish .",109945,0.27778,negative,1,5132,1
6187,The major problem with Windtalkers is that the bulk of the movie centers on the wrong character .,188330,0.34722,negative,1,10724,1
6188,The makers of Mothman Prophecies succeed in producing that most frightening of all movies -- a mediocre horror film too bad to be good and too good to be bad .,109948,0.34722,negative,1,6561,1
6189,The mantra behind the project seems to have been ` it 's just a kids ' flick . ',226327,0.33333,negative,1,9999,1
6190,The mark of a respectable summer blockbuster is one of two things : unadulterated thrills or genuine laughs .,47147,0.83333,very positive,4,2085,1
6191,The material and the production itself are little more than routine .,188342,0.31944,negative,1,9236,1
6192,"The members manage to pronounce KOK exactly as you think they might , thus giving the cast ample opportunity to use that term as often as possible .",69690,0.5,neutral,2,3598,1
6193,"The message is that even the most unlikely can link together to conquer all kinds of obstacles , whether they be of nature , of man or of one another .",69693,0.59722,neutral,2,3594,1
6194,"The message of such reflections -- intentional or not -- is that while no art grows from a vacuum , many artists exist in one .",69696,0.51389,neutral,2,2652,1
6195,"The messy emotions raging throughout this three-hour effort are instantly recognizable , allowing the film to paradoxically feel familiar and foreign at the same time .",109951,0.47222,neutral,2,4883,1
6196,"The metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .",188348,0.34722,negative,1,11520,1
6197,The milieu is wholly unconvincing ... and the histrionics reach a truly annoying pitch .,188354,0.36111,negative,1,10496,1
6198,"The misery of these people becomes just another voyeuristic spectacle , to be consumed and forgotten .",109954,0.125,very negative,0,6331,1
6199,The modern master of the chase sequence returns with a chase to end all chases,109957,0.91667,very positive,4,4882,1
6200,The modern-day characters are nowhere near as vivid as the 19th-century ones .,188356,0.375,negative,1,9225,1
6201,The modern-day royals have nothing on these guys when it comes to scandals .,47158,0.38889,negative,1,1678,1
6202,"The mood , look and tone of the film fit the incredible storyline to a T.",226330,0.70833,positive,3,2454,1
6203,The moral shrapnel and mental shellshock will linger long after this film has ended .,69704,0.75,positive,3,3514,1
6204,"The more you think about the movie , the more you will probably like it .",109963,0.76389,positive,3,4986,1
6205,The most amazing super-sized dosage of goofball stunts any `` Jackass '' fan could want .,226332,0.84722,very positive,4,2314,1
6206,The most anti-human big studio picture since 3000 Miles to Graceland .,109966,0.58333,neutral,2,5935,1
6207,"The most audacious , outrageous , sexually explicit , psychologically probing , pure libido film of the year has arrived from Portugal .",109969,0.66667,positive,3,5055,1
6208,"The most brilliant and brutal UK crime film since Jack Carter went back to Newcastle , the first half of Gangster No. 1 drips with style and , at times , blood .",226333,0.90278,very positive,4,2308,1
6209,The most brilliant work in this genre since the 1984 uncut version of Sergio Leone 's flawed but staggering Once Upon a Time in America .,69713,0.93056,very positive,4,2751,1
6210,The most compelling performance of the year adds substantial depth to this shocking testament to anti-Semitism and neo-fascism .,69716,0.86111,very positive,4,2407,1
6211,The most consistently funny of the Austin Powers films .,109972,0.77778,positive,3,5233,1
6212,The most excruciating 86 minutes one might sit through this summer that do not involve a dentist drill .,188358,0.26389,negative,1,10842,1
6213,The most horrific movie experience I 've had since `` Ca n't Stop The Music . '',226335,0.19444,very negative,0,10144,1
6214,The most ill-conceived animated comedy since the 1991 dog Rover Dangerfield .,188363,0.41667,neutral,2,9496,1
6215,The most ingenious film comedy since Being John Malkovich .,109975,0.97222,very positive,4,5339,1
6216,"The most memorable moment was when Green threw medical equipment at a window ; not because it was particularly funny , but because I had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration .",226337,0.13889,very negative,0,6123,1
6217,The most offensive thing about the movie is that Hollywood expects people to pay to see it .,109978,0.18056,very negative,0,5800,1
6218,"The most opaque , self-indulgent and just plain goofy an excuse for a movie as you can imagine .",109981,0.31944,negative,1,6634,1
6219,The most surprising thing about this film is that they are actually releasing it into theaters .,188372,0.15278,very negative,0,10474,1
6220,"The most wondrous love story in years , it is a great film .",69719,0.97222,very positive,4,3215,1
6221,The movie 's biggest shocks come from seeing former nymphette Juliette Lewis playing a salt-of-the-earth mommy named Minnie and watching Slim travel incognito in a ridiculous wig no respectable Halloween costume shop would ever try to sell .,188374,0.20833,negative,1,10887,1
6222,The movie 's blatant derivativeness is one reason it 's so lackluster .,188376,0.375,negative,1,9816,1
6223,"The movie 's captivating details are all in the performances , from Foreman 's barking-mad Taylor to Thewlis 's smoothly sinister Freddie and Bettany\/McDowell 's hard-eyed gangster .",109983,0.86111,very positive,4,5008,1
6224,The movie 's downfall is to substitute plot for personality .,226342,0.20833,negative,1,11129,1
6225,"The movie 's gloomy atmosphere is fascinating , though , even if the movie itself does n't stand a ghost of a chance .",188380,0.58333,neutral,2,10219,1
6226,The movie 's heavy-handed screenplay navigates a fast fade into pomposity and pretentiousness .,188382,0.52778,neutral,2,9873,1
6227,"The movie 's major and most devastating flaw is its reliance on formula , though , and it 's quite enough to lessen the overall impact the movie could have had .",188390,0.26389,negative,1,9237,1
6228,"The movie 's plot is almost entirely witless and inane , carrying every gag two or three times beyond its limit to sustain a laugh .",188392,0.15278,very negative,0,9857,1
6229,The movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error . ',188395,0.16667,very negative,0,10225,1
6230,The movie 's seams may show ... but Pellington gives `` Mothman '' an irresistibly uncanny ambience that goes a long way toward keeping the picture compelling .,226350,0.69444,positive,3,4163,1
6231,"The movie 's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story .",226351,0.34722,negative,1,5714,1
6232,The movie 's thesis -- elegant technology for the masses -- is surprisingly refreshing .,69728,0.77778,positive,3,3484,1
6233,"The movie 's ultimate point -- that everyone should be themselves -- is trite , but the screenwriter and director Michel Gondry restate it to the point of ridiculousness .",188401,0.19444,very negative,0,9605,1
6234,The movie 's vision of a white American zealously spreading a Puritanical brand of Christianity to South Seas islanders is one only a true believer could relish .,188404,0.34722,negative,1,10683,1
6235,"The movie , despite its rough edges and a tendency to sag in certain places , is wry and engrossing .",69729,0.68056,positive,3,4283,1
6236,"The movie , like Bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes .",109986,0.34722,negative,1,5828,1
6237,"The movie , while beautiful , feels labored , with a hint of the writing exercise about it .",109987,0.47222,neutral,2,6627,1
6238,"The movie attempts to mine laughs from a genre -- the gangster\/crime comedy -- that wore out its welcome with audiences several years ago , and its cutesy reliance on movie-specific cliches is n't exactly endearing .",109992,0.25,negative,1,6178,1
6239,"The movie certainly has its share of clever moments and biting dialogue , but there 's just not much lurking below its abstract surface .",188413,0.58333,neutral,2,9212,1
6240,The movie does has some entertainment value - how much depends on how well you like Chris Rock .,188414,0.52778,neutral,2,10766,1
6241,"The movie does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the Cotswolds .",69730,0.76389,positive,3,4375,1
6242,The movie does n't add anything fresh to the myth .,149570,0.25,negative,1,6929,1
6243,The movie does n't generate a lot of energy .,188415,0.27778,negative,1,11389,1
6244,"The movie does n't think much of its characters , its protagonist , or of us .",149571,0.29167,negative,1,7129,1
6245,The movie does such an excellent job of critiquing itself at every faltering half-step of its development that criticizing feels more like commiserating .,188417,0.30556,negative,1,10851,1
6246,"The movie ends with outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie .",149572,0.27778,negative,1,6924,1
6247,"The movie enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle .",69731,0.77778,positive,3,3516,1
6248,The movie eventually snaps under the strain of its plot contrivances and its need to reassure .,149573,0.22222,negative,1,7280,1
6249,The movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .,149575,0.16667,very negative,0,7205,1
6250,The movie generates plot points with a degree of randomness usually achieved only by lottery drawing .,188419,0.25,negative,1,9089,1
6251,"The movie has generic virtues , and despite a lot of involved talent , seems done by the numbers .",188420,0.47222,neutral,2,10089,1
6252,"The movie has no respect for laws , political correctness or common decency , but it displays something more important : respect for its flawed , crazy people .",69736,0.51389,neutral,2,3002,1
6253,The movie is ... very funny as you peek at it through the fingers in front of your eyes .,69737,0.76389,positive,3,4156,1
