,phrase,actual rating,predicted
320,"In the end , we are left with something like two ships passing in the night rather than any insights into gay love , Chinese society or the price one pays for being dishonest .",negative,very negative
321,"Inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat .",positive,very negative
322,"Instead , he shows them the respect they are due .",very positive,very negative
323,"Instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life .",positive,very negative
324,"Instead of hiding Pinocchio from critics , Miramax should have hidden it from everyone .",very negative,negative
325,Intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject .,positive,neutral
326,"Irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater .",negative,very negative
327,Is this love or is it masochism ?,neutral,negative
328,It 's a bad thing when a movie has about as much substance as its end credits blooper reel .,very negative,negative
329,It 's a beautiful madness .,positive,very negative
330,It 's a buggy drag .,negative,neutral
331,It 's a charming and often affecting journey .,very positive,very negative
332,It 's a coming-of-age story we 've all seen bits of in other films -- but it 's rarely been told with such affecting grace and cultural specificity .,neutral,very negative
333,It 's a feature-length adaptation of one of those `` Can This Marriage Be Saved ? '',neutral,negative
334,It 's a lovely film with lovely performances by Buy and Accorsi .,positive,very negative
335,"It 's a much more emotional journey than what Shyamalan has given us in his past two movies , and Gibson , stepping in for Bruce Willis , is the perfect actor to take us on the trip .",positive,very negative
336,It 's a remarkably solid and subtly satirical tour de force .,very positive,very negative
337,It 's a scathing portrayal .,neutral,very negative
338,"It 's a scattershot affair , but when it hits its mark it 's brilliant .",positive,very negative
339,"It 's a trifle of a movie , with a few laughs surrounding an unremarkable soft center .",neutral,negative
340,It 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman .,positive,very negative
341,"It 's about following your dreams , no matter what your parents think .",positive,negative
342,"It 's also , clearly , great fun .",very positive,very negative
343,It 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .,positive,very negative
344,"It 's as if you 're watching a movie that was made in 1978 but not released then because it was so weak , and it has been unearthed and released now , when it has become even weaker .",very negative,negative
345,It 's basically an overlong episode of Tales from the Crypt .,neutral,negative
346,"It 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination .",negative,very negative
347,"It 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role .",very negative,negative
348,"It 's dumb , but more importantly , it 's just not scary .",very negative,neutral
349,It 's everything you do n't go to the movies for .,very negative,neutral
350,It 's fascinating to see how Bettany and McDowell play off each other .,positive,very negative
351,It 's fun lite .,positive,negative
352,It 's great escapist fun that recreates a place and time that will never happen again .,positive,very negative
353,It 's hard to imagine Alan Arkin being better than he is in this performance .,positive,negative
354,It 's hard to know whether or not to recommend this film because for every thing it does right there 's at least one and occasionally two things it gets ever so wrong .,neutral,negative
355,It 's like watching a nightmare made flesh .,very negative,neutral
356,It 's made with deftly unsettling genre flair .,positive,very negative
357,"It 's mighty tedious for the viewer who has to contend with unpleasant characters , hit-and-miss performances and awkwardly staged scenes .",neutral,negative
358,"It 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks .",negative,very negative
359,"It 's not that Kung Pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all Oedekerk 's impish augmentation .",negative,neutral
360,"It 's not without its pleasures , but I 'll stick with The Tune .",neutral,very negative
361,It 's one heck of a character study -- not of Hearst or Davies but of the unique relationship between them .,positive,very negative
362,"It 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible .",positive,negative
363,"It 's played in the most straight-faced fashion , with little humor to lighten things up .",negative,neutral
364,It 's refreshing to see a girl-power movie that does n't feel it has to prove anything .,very positive,negative
365,"It 's so good that its relentless , polished wit can withstand not only inept school productions , but even Oliver Parker 's movie adaptation .",positive,negative
366,It 's so good that you can practically see the Hollywood ` suits ' trying to put together the cast and filmmaking team for the all-too - inevitable American remake .,neutral,negative
367,"It 's so mediocre , despite the dynamic duo on the marquee , that we just ca n't get no satisfaction .",negative,neutral
368,"It 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way .",negative,very negative
369,"It 's sweet , harmless , dumb , occasionally funny and about as compelling as a fishing show .",neutral,very negative
370,It 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of Anna Chancellor that makes this `` Two Weddings and a Funeral '' fun .,very positive,very negative
371,It 's the perfect kind of film to see when you do n't want to use your brain .,neutral,negative
372,"It 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .",positive,very negative
373,It all adds up to good fun .,positive,negative
374,It all drags on so interminably it 's like watching a miserable relationship unfold in real time .,very negative,negative
375,It all feels like a Monty Python sketch gone horribly wrong .,very negative,negative
376,"It believes it 's revealing some great human truths , when , in reality , it 's churning ground that has long passed the point of being fertile .",neutral,very negative
377,It confirms Fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight .,very positive,neutral
378,It conveys a simple message in a visual style that is willfully overwrought .,neutral,very negative
379,It deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,positive,very negative
380,"It does n't believe in itself , it has no sense of humor ... it 's just plain bored .",very negative,negative
381,"It does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28K modem .",negative,very negative
382,"It feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes .",very negative,negative
383,"It gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right .",positive,negative
384,"It has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .",positive,very negative
385,"It has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death .",negative,neutral
386,"It has the ability to offend and put off everyone , but it holds you with its outrageousness .",neutral,very negative
387,"It has the charm of the original American road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland .",positive,very negative
388,"It haunts , horrifies , startles and fascinates ; it is impossible to look away .",very positive,negative
389,"It haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .",positive,very negative
390,It inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . ',very positive,positive
391,"It is amusing , and that 's all it needs to be .",very positive,very negative
392,It is great summer fun to watch Arnold and his buddy Gerald bounce off a quirky cast of characters .,positive,negative
393,"It is the sheer , selfish , wound-licking , bar-scrapping doggedness of Leon 's struggle to face and transmute his demons that makes the movie a spirited and touching occasion , despite its patchy construction .",neutral,very negative
394,"It just may inspire a few younger moviegoers to read Stevenson 's book , which is a treasure in and of itself .",positive,very negative
395,"It kinda works and qualifies as cool at times , but is just too lame to work or be cool at others .",neutral,negative
396,It made me want to wrench my eyes out of my head and toss them at the screen .,negative,very negative
397,"It may seem long at 110 minutes if you 're not a fan , because it includes segments of 12 songs at a reunion concert .",neutral,very negative
398,"It moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the Cold War datedness -- of its premise .",positive,negative
399,It offers little beyond the momentary joys of pretty and weightless intellectual entertainment .,negative,neutral
400,"It proves quite compelling as an intense , brooding character study .",positive,very negative
401,It provides an honest look at a community striving to anchor itself in new grounds .,positive,negative
402,"It provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot .",very positive,very negative
403,It seems like I have been waiting my whole life for this movie and now I ca n't wait for the sequel .,positive,negative
404,"It showcases Carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff .",negative,neutral
405,"It takes a certain kind of horror movie to qualify as ` worse than expected , ' but Ghost Ship somehow manages to do exactly that .",very negative,negative
406,"It takes a strange kind of laziness to waste the talents of Robert Forster , Anne Meara , Eugene Levy , and Reginald VelJohnson all in the same movie .",very negative,negative
407,It takes talent to make a lifeless movie about the most heinous man who ever lived .,negative,neutral
408,It treats women like idiots .,very negative,neutral
409,It uses the pain and violence of war as background material for color .,neutral,negative
410,It wants to tweak them with a taste of tangy new humor .,positive,negative
411,"It will grip even viewers who are n't interested in rap , as it cuts to the heart of American society in an unnerving way .",positive,very negative
412,"It will not appeal to the impatient , but those who like long books and movies will admire the way it accumulates power and depth .",neutral,very negative
413,"Its maker , Steven Spielberg , has n't had so much fun in two decades , since he was schlepping Indiana Jones around the globe in search of a giant misplaced ashtray .",neutral,very negative
414,Jacquot 's rendering of Puccini 's tale of devotion and double-cross is more than just a filmed opera .,neutral,negative
415,Jones ... does offer a brutal form of charisma .,positive,very negative
416,"Jose Campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory .",very positive,very negative
417,"Just as moving , uplifting and funny as ever .",positive,very negative
418,Just embarrassment and a vague sense of shame .,very negative,negative
419,K-19 exploits our substantial collective fear of nuclear holocaust to generate cheap Hollywood tension .,very negative,neutral
420,Kept aloft largely by a comically adept ensemble .,neutral,negative
421,"Kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .",positive,very negative
422,LaPaglia 's ability to convey grief and hope works with Weaver 's sensitive reactions to make this a two-actor master class .,positive,very negative
423,"Lan Yu is at times too restrained , yet there are moments it captures the erotics of intimacy in a way that makes most American love stories look downright unfree .",neutral,very negative
424,Late Marriage 's stiffness is unlikely to demonstrate the emotional clout to sweep U.S. viewers off their feet .,negative,very negative
425,Leigh 's film is full of memorable performances from top to bottom .,very positive,very negative
426,Light years \/ several warp speeds \/ levels and levels of dilithium crystals better than the pitiful Insurrection .,positive,negative
427,"Like Leon , it 's frustrating and still oddly likable .",positive,very negative
428,"Like Mike is a winner for kids , and no doubt a winner for Lil Bow Wow , who can now add movies to the list of things he does well .",very positive,negative
429,Like Mike is n't interested in recycling old cliches .,neutral,negative
430,"Like all abstract art , the film does not make this statement in an easily accessible way , and -- unless prewarned -- it would be very possible for a reasonably intelligent person to sit through its tidal wave of imagery and not get this vision at all .",neutral,negative
431,Like being trapped at a perpetual frat party ... How can something so gross be so boring ?,very negative,negative
432,Like the Chelsea 's denizens ... Burdette 's collage-form scenario tends to over-romanticize the spiritual desolation of the struggling artiste .,neutral,negative
433,Like watching a dress rehearsal the week before the show goes up : everything 's in place but something 's just a little off-kilter .,negative,neutral
434,Like you could n't smell this turkey rotting from miles away .,very negative,negative
435,Likely to expertly drum up repressed teenage memories in any viewer .,neutral,negative
436,"Liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , Goodfellas image .",positive,very negative
437,"Looking aristocratic , luminous yet careworn in Jane Hamilton 's exemplary costumes , Rampling gives a performance that could not be improved upon . '",very positive,negative
438,Lovely and poignant .,very positive,positive
439,"MacDowell , whose wifty Southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .",positive,very negative
440,"Majidi is an unconventional storyteller , capable of finding beauty in the most depressing places .",positive,negative
441,Makes even the claustrophobic on-board quarters seem fun .,neutral,negative
442,Makes for a pretty unpleasant viewing experience .,very negative,negative
443,"Makes for some truly odd , at times confusing , kids entertainment ... but at least this time there 's some centered storytelling to go along with all the weird stuff .",neutral,very negative
444,Manages to be both repulsively sadistic and mundane .,very negative,negative
445,"Manages to be somewhat well-acted , not badly art-directed and utterly unengaging no matter how hard it tries to be thrilling , touching or , yikes , uproarious .",neutral,negative
446,Manages to be sweet and wickedly satisfying at the same time .,very positive,positive
447,Manages to show life in all of its banality when the intention is quite the opposite .,negative,very negative
448,"Manages to transcend the sex , drugs and show-tunes plot into something far richer .",very positive,very negative
449,"Maneuvers skillfully through the plot 's hot brine -- until it 's undone by the sogginess of its contemporary characters , and actors .",neutral,negative
450,"Martin and Barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by Sven Wollter and Viveka Seldahl make their hopes and frustrations vivid .",very positive,very negative
451,"Mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity .",very negative,negative
452,"Maud and Roland 's search for an unknowable past makes for a haunting literary detective story , but LaBute pulls off a neater trick in Possession : He makes language sexy .",very positive,negative
453,"May be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .",positive,very negative
454,May reawaken discussion of the Kennedy assassination but this fictional film looks made for cable rather than for the big screen .,negative,very negative
455,"McConaughey 's fun to watch , the dragons are okay , not much fire in the script .",positive,negative
456,Michael Gerbosi 's script is economically packed with telling scenes .,very positive,negative
457,"Miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness .",positive,very negative
458,"Minority Report is exactly what the title indicates , a report .",positive,negative
459,Mom and Dad can catch some quality naptime along the way .,neutral,positive
460,Montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .,very positive,negative
461,"Moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not .",positive,very negative
462,More maudlin than sharp .,neutral,negative
463,"More romantic , more emotional and ultimately more satisfying than the teary-eyed original .",very positive,negative
464,"Morton uses her face and her body language to bring us Morvern 's soul , even though the character is almost completely deadpan .",positive,negative
465,"Movie fans , get ready to take off ... the other direction .",negative,very negative
466,"Mr. Tsai is a very original artist in his medium , and What Time Is It There ?",very positive,very negative
467,"Much as we might be interested in gratuitous sexualization , Haneke has a different objective in mind -- namely the implications of our craving for fake stimulation .",neutral,negative
468,My Big Fat Greek Wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor .,very positive,very negative
469,My Wife Is an Actress is an utterly charming French comedy that feels so American in sensibility and style it 's virtually its own Hollywood remake .,very positive,negative
470,My thoughts were focused on the characters .,positive,negative
471,"Nasty , ugly , pointless and depressing , even if you hate clowns .",neutral,negative
472,New Best Friend 's Playboy-mansion presentation of college life is laugh-out-loud ludicrous .,neutral,negative
473,"Nine Queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head .",very positive,negative
474,No aspirations to social import inform the movie version .,negative,neutral
475,No one but a convict guilty of some truly heinous crime should have to sit through The Master of Disguise .,very negative,negative
476,"No one goes unindicted here , which is probably for the best .",neutral,negative
477,No screen fantasy-adventure in recent memory has the showmanship of Clones ' last 45 minutes .,very positive,very negative
478,"No sophomore slump for director Sam Mendes , who segues from Oscar winner to Oscar-winning potential with a smooth sleight of hand .",very positive,negative
479,No way I can believe this load of junk .,very negative,neutral
480,"Nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting .",very negative,negative
481,"Not a film to rival To Live , but a fine little amuse-bouche to keep your appetite whetted .",neutral,negative
482,Not an objectionable or dull film ; it merely lacks everything except good intentions .,very negative,negative
483,"Not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics .",positive,negative
484,"Not for the prurient or squeamish , it 's a daring if overlong examination of an idolized culture , self-loathing and sexual politics .",neutral,very negative
485,Not nearly long enough .,neutral,negative
486,"Not only are the special effects and narrative flow much improved , and Daniel Radcliffe more emotionally assertive this time around as Harry , but the film conjures the magic of author J.K. Rowling 's books .",very positive,negative
487,"Not only is Undercover Brother as funny , if not more so , than both Austin Powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .",very positive,very negative
488,"Not only unfunny , but downright repellent .",very negative,negative
489,Not since Freddy Got Fingered has a major release been so painful to sit through .,very negative,negative
490,Not since Japanese filmmaker Akira Kurosawa 's Ran have the savagery of combat and the specter of death been visualized with such operatic grandeur .,very positive,negative
491,Not since Tom Cruise in Risky Business has an actor made such a strong impression in his underwear .,positive,negative
492,"Not the kind of film that will appeal to a mainstream American audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit .",very positive,very negative
493,"Nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative Nine Queens is lots of fun .",positive,very negative
494,Nothing in Waking Up in Reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay .,very negative,negative
495,Nothing is black and white .,neutral,negative
496,Nothing more substantial than a fitfully clever doodle .,neutral,negative
497,"Offers much to enjoy ... and a lot to mull over in terms of love , loyalty and the nature of staying friends .",positive,negative
498,"Offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm .",negative,very negative
499,Oh come on .,negative,neutral
500,Old-form moviemaking at its best .,very positive,neutral
501,"On the bright side , it contains Jesse Ventura 's best work since the XFL .",neutral,very negative
502,"On the heels of The Ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness .",positive,neutral
503,"On this tricky topic , Tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .",very positive,very negative
504,One long string of cliches .,negative,neutral
505,"One of creepiest , scariest movies to come along in a long , long time , easily rivaling Blair Witch or The Others .",positive,negative
506,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals ... a psychological masterpiece .,very positive,very negative
507,One of the more intelligent children 's movies to hit theaters this year .,very positive,very negative
508,"One of the more irritating cartoons you will see this , or any , year .",very negative,negative
509,One of the most significant moviegoing pleasures of the year .,very positive,positive
510,One of the smartest takes on singles culture I 've seen in a long time .,very positive,neutral
511,"One of those energetic surprises , an original that pleases almost everyone who sees it .",very positive,very negative
512,"One of those pictures whose promising , if rather precious , premise is undercut by amateurish execution .",negative,positive
513,"Open-minded kids -- kids who read , kids who dream -- will be comforted by the way it deals with big issues like death and destiny .",neutral,very negative
514,Or doing last year 's taxes with your ex-wife .,negative,neutral
515,"Oscar Wilde 's masterpiece , The Importance of Being Earnest , may be the best play of the 19th century .",positive,very negative
516,"Outer-space buffs might love this film , but others will find its pleasures intermittent .",negative,very negative
517,Over age 15 ?,neutral,negative
518,Overall very good for what it 's trying to do .,positive,negative
519,"Pacino is brilliant as the sleep-deprived Dormer , his increasing weariness as much existential as it is physical .",very positive,negative
520,Part Three Stooges .,neutral,very negative
521,"Partway through watching this saccharine , Easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected TV show .",very negative,negative
522,People cinema at its finest .,very positive,negative
523,"Perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie .",negative,very negative
524,"Prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , Jagger obviously relishes every self-mocking moment .",neutral,very negative
525,"Preaches to two completely different choirs at the same time , which is a pretty amazing accomplishment .",very positive,negative
526,"Pretension , in its own way , is a form of bravery .",neutral,very negative
527,"Professionally speaking , it 's tempting to jump ship in January to avoid ridiculous schlock like this shoddy suspense thriller .",very negative,negative
528,"Pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer Adam Larson Broder and his co-director , Tony R. Abrams , in their feature debut .",negative,very negative
529,"Pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins .",negative,very negative
530,Pumpkin wants to have it both ways .,neutral,negative
531,Puts a human face on a land most Westerners are unfamiliar with .,positive,very negative
532,"Ramsay , as in Ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid .",positive,very negative
533,Rarely has leukemia looked so shimmering and benign .,negative,very negative
534,Reggio 's continual visual barrage is absorbing as well as thought-provoking .,positive,very negative
535,Reign of Fire looks as if it was made without much thought -- and is best watched that way .,positive,neutral
536,Remember the kind of movie we were hoping `` Ecks vs. Sever '' or `` xXx '' was going to be ?,neutral,negative
537,"Returning aggressively to his formula of dimwitted comedy and even dimmer characters , Sandler , who also executive produces , has made a film that makes previous vehicles look smart and sassy .",neutral,very negative
538,Richard Gere and Diane Lane put in fine performances as does French actor Oliver Martinez .,positive,very negative
539,"Ruzowitzky has taken this mothball-y stuff and made a rather sturdy , old-fashioned entertainment out of it .",neutral,negative
540,Sacrifices the value of its wealth of archival foot-age with its less-than-objective stance .,negative,neutral
541,Sade is an engaging look at the controversial eponymous and fiercely atheistic hero .,positive,very negative
542,Sam Mendes has become valedictorian at the School for Soft Landings and Easy Ways Out .,negative,very negative
543,"Samira Makhmalbaf 's new film Blackboards is much like the ethos of a stream of consciousness , although , it 's unfortunate for the viewer that the thoughts and reflections coming through are torpid and banal",very negative,negative
544,Scooby Dooby Doo \/ And Shaggy too \/ You both look and sound great .,positive,negative
545,"Scores no points for originality , wit , or intelligence .",very negative,negative
546,"Scorsese at his best makes gangster films that are equally lovely but also relentlessly brutal and brutally intelligent ; Perdition , meanwhile , reads more like Driving Miss Daisy than GoodFellas .",neutral,negative
547,"Seldahl 's Barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .",positive,very negative
548,Seldom has a movie so closely matched the spirit of a man and his work .,very positive,very negative
549,"Skins has a right to yawp , and we have a right to our grains of salt .",neutral,very negative
550,"Slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , why spend money on a dog like this when you can rent a pedigree instead ?",very negative,negative
551,Slick piece of cross-promotion .,positive,negative
552,"Smart , provocative and blisteringly funny .",positive,very negative
553,Smith is careful not to make fun of these curious owners of architectural oddities .,neutral,negative
554,"So , too , is this comedy about mild culture clashing in today 's New Delhi .",positive,negative
555,So devoid of any kind of intelligible story that it makes films like XXX and Collateral Damage seem like thoughtful treatises,very negative,negative
556,"So much facile technique , such cute ideas , so little movie .",positive,negative
557,So refreshingly incisive is Grant that for the first time he 'll probably appeal more to guys than to their girlfriends who drag them to this movie for the Hugh factor .,positive,negative
558,"So unassuming and pure of heart , you ca n't help but warmly extend your arms and yell ` Safe ! '",positive,very negative
559,So unremittingly awful that labeling it a dog probably constitutes cruelty to canines .,very negative,negative
560,Socrates motions for hemlock .,neutral,negative
561,"Some of it is clever , but it is never melodic \/",neutral,very negative
562,"Some of their jokes work , but most fail miserably and in the end , Pumpkin is far more offensive than it is funny .",negative,very negative
563,"Something akin to a Japanese Alice Through the Looking Glass , except that it seems to take itself far more seriously .",positive,negative
564,"Sometimes it feels as if it might have been made in the '70s or '80s , and starred Chevy Chase and Goldie Hawn .",neutral,negative
565,Star Trek : Nemesis meekly goes where nearly every Star Trek movie has gone before .,neutral,very negative
566,Stealing Harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time .,negative,neutral
567,"Stephen Rea , Aidan Quinn , and Alan Bates play Desmond 's legal eagles , and when joined by Brosnan , the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing , ` tis .",very positive,negative
568,"Sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the WWII-era Mississippi Delta undermine this adaptation .",very negative,negative
569,"Still , as a visual treat , the film is almost unsurpassed .",very positive,very negative
570,"Stultifyingly , dumbfoundingly , mind-numbingly bad .",very negative,negative
571,"Suffocated by its fussy script and uptight characters , this musty adaptation is all the more annoying since it 's been packaged and sold back to us by Hollywood .",very negative,negative
572,Taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .,very negative,negative
573,"Thanks to Haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , Far From Heaven actually pulls off this stylistic juggling act .",positive,negative
574,"Thanks to Scott 's charismatic Roger and Eisenberg 's sweet nephew , Roger Dodger is one of the most compelling variations on In the Company of Men .",very positive,very negative
575,That 's a cheat .,negative,neutral
576,"That dogged good will of the parents and ` vain ' Jia 's defoliation of ego , make the film touching despite some doldrums .",positive,very negative
577,That is a compliment to Kuras and Miller .,positive,negative
578,The Chateau cleverly probes the cross-cultural differences between Gauls and Yanks .,positive,negative
579,The Iditarod lasts for days - this just felt like it did .,very negative,negative
580,"The Lion King was a roaring success when it was released eight years ago , but on Imax it seems better , not just bigger .",positive,negative
581,"The Man From Elysian Fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves .",very negative,negative
582,"The Movie could have been made 40 years ago , and parents ' appreciation of it may depend on whether they consider that a good thing .",neutral,negative
583,"The Movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .",very negative,negative
584,The Son 's Room is a triumph of gentility that earns its moments of pathos .,positive,very negative
585,The Wild Thornberrys Movie is a jolly surprise .,positive,very negative
586,"The acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .",very positive,very negative
587,"The actors are appealing , but Elysian Fields is idiotic and absurdly sentimental .",neutral,very negative
588,The affectionate loopiness that once seemed congenital to Demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled Hollywood post-production effects .,very negative,negative
589,The best film about baseball to hit theaters since Field of Dreams .,very positive,neutral
590,"The best revenge may just be living well because this film , unlike other Dumas adaptations , is far more likened to a treasure than a lengthy jail sentence .",positive,negative
591,The best that can be said about the work here of Scottish director Ritchie ... is that he obviously does n't have his heart in it .,negative,very negative
592,The characters are interesting and often very creatively constructed from figure to backstory .,very positive,neutral
593,"The continued good chemistry between Carmen and Juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained .",positive,very negative
594,"The director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom .",negative,very negative
595,"The documentary does little , apart from raising the topic , to further stoke the conversation .",neutral,very negative
596,The emotions are raw and will strike a nerve with anyone who 's ever had family trauma .,positive,very negative
597,The end result is a film that 's neither .,negative,neutral
598,"The entire movie is about a boring , sad man being boring and sad .",negative,positive
599,The experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not .,very negative,negative
600,"The far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past .",positive,very negative
601,"The film 's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties .",neutral,very negative
602,The film 's essentially over by the meet-cute .,neutral,negative
603,The film 's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency .,very negative,negative
604,The film 's performances are thrilling .,very positive,very negative
605,The film 's snags and stumblings are more than compensated for by its wryly subversive tone .,neutral,negative
606,The film 's tone and pacing are off almost from the get-go .,negative,very negative
607,The film 's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip .,very positive,very negative
608,"The film is a contrivance , as artificial as the video games Japanese teens play in a nightclub sequence , but it 's an enjoyable one .",neutral,very negative
609,"The film is based on truth and yet there is something about it that feels incomplete , as if the real story starts just around the corner .",negative,positive
610,"The film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of Joan 's madness .",positive,very negative
611,"The film is powerful , accessible and funny .",very positive,very negative
612,"The film is quiet , threatening and unforgettable .",very positive,very negative
613,"The film may appear naked in its narrative form ... but it goes deeper than that , to fundamental choices that include the complexity of the Catholic doctrine",positive,very negative
614,The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people .,neutral,negative
615,"The film takes the materials of human tragedy and dresses them in lovely costumes , Southern California locations and star power .",neutral,very negative
616,The film will play equally well on both the standard and giant screens .,positive,very negative
617,The fly-on-the-wall method used to document rural French school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work .,positive,very negative
618,"The format gets used best ... to capture the dizzying heights achieved by motocross and BMX riders , whose balletic hotdogging occasionally ends in bone-crushing screwups .",positive,negative
619,The ga-zillionth airhead movie about a wife in distress who resorts to desperate measures .,neutral,negative
620,The heavy-handed film is almost laughable as a consequence .,very negative,negative
621,"The humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original .",very negative,negative
622,The idea of 49-year-old Roberto Benigni playing the wooden boy Pinocchio is scary enough .,neutral,negative
623,"The inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power , as if they were tales that had been handed down since the beginning of time .",neutral,negative
624,"The inspirational screenplay by Mike Rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .",positive,negative
625,"The jabs it employs are short , carefully placed and dead-center .",positive,very negative
